GEOID,town_name,median_income,median_income_moe
5000100325,Addison town,106667.0,7181.0
5000108575,Bridport town,83214.0,17776.0
5000109025,Bristol town,74620.0,8110.0
5000116000,Cornwall town,114583.0,32017.0
5000126300,Ferrisburgh town,106989.0,21771.0
5000128600,Goshen town,56250.0,32508.0
5000129575,Granville town,60500.0,20870.0
5000131525,Hancock town,76250.0,33926.0
5000139325,Leicester town,70417.0,30423.0
5000140075,Lincoln town,96667.0,17954.0
5000144350,Middlebury town,86169.0,15744.0
5000145550,Monkton town,119688.0,27982.0
5000148700,New Haven town,92321.0,16922.0
5000153725,Orwell town,70417.0,22458.0
5000153950,Panton town,86667.0,9614.0
5000159650,Ripton town,112917.0,14750.0
5000162575,Salisbury town,99688.0,21381.0
5000165050,Shoreham town,93654.0,22931.0
5000170075,Starksboro town,82188.0,15313.0
5000174650,Vergennes city,76587.0,12755.0
5000176075,Waltham town,97500.0,13819.0
5000183275,Weybridge town,118083.0,18342.0
5000183800,Whiting town,91250.0,37709.0
5000301450,Arlington town,102308.0,10759.0
5000304825,Bennington town,59446.0,7440.0
5000317725,Dorset town,111250.0,40453.0
5000327962,Glastenbury town,,
5000339025,Landgrove town,195938.0,166849.0
5000342850,Manchester town,94886.0,22757.0
5000355000,Peru town,151875.0,82732.0
5000357025,Pownal town,64163.0,21076.0
5000358600,Readsboro town,55268.0,12352.0
5000361000,Rupert town,88229.0,35873.0
5000362875,Sandgate town,69167.0,18993.0
5000363175,Searsburg town,61071.0,49326.0
5000363550,Shaftsbury town,86071.0,24478.0
5000369775,Stamford town,88646.0,9226.0
5000371425,Sunderland town,88523.0,15919.0
5000385075,Winhall town,95500.0,23228.0
5000385675,Woodford town,81250.0,20487.0
5000502875,Barnet town,67386.0,15221.0
5000510450,Burke town,87143.0,17233.0
5000517125,Danville town,70946.0,7023.0
5000530550,Groton town,77250.0,13883.0
5000531825,Hardwick town,92297.0,17316.0
5000537900,Kirby town,54792.0,21199.0
5000541725,Lyndon town,68786.0,5785.0
5000547725,Newark town,72929.0,6654.0
5000554400,Peacham town,90000.0,28387.0
5000561525,Ryegate town,66484.0,14558.0
5000562200,St. Johnsbury town,57738.0,9123.0
5000564075,Sheffield town,58333.0,26066.0
5000569925,Stannard town,66979.0,30024.0
5000571575,Sutton town,71250.0,17627.0
5000575700,Walden town,88000.0,14593.0
5000577125,Waterford town,109375.0,18521.0
5000583500,Wheelock town,64792.0,19502.0
5000706550,Bolton town,111125.0,17013.0
5000710300,Buels gore,71250.0,29215.0
5000710675,Burlington city,71109.0,4193.0
5000713300,Charlotte town,144375.0,27387.0
5000714875,Colchester town,97891.0,8720.0
5000724175,Essex town,110199.0,14119.0
5000724400,Essex Junction city,89257.0,16233.0
5000733475,Hinesburg town,112539.0,17526.0
5000734600,Huntington town,94497.0,2859.0
5000736700,Jericho town,116923.0,16162.0
5000745250,Milton town,118977.0,9633.0
5000759275,Richmond town,108235.0,23710.0
5000762050,St. George town,109464.0,33858.0
5000764300,Shelburne town,115963.0,15767.0
5000766175,South Burlington city,106667.0,12797.0
5000773975,Underhill town,92267.0,54188.0
5000780350,Westford town,112750.0,12264.0
5000784475,Williston town,106967.0,11875.0
5000785150,Winooski city,79522.0,11330.0
5000902125,Averill town,,
5000902162,Avery's gore,,
5000906325,Bloomfield town,54375.0,17429.0
5000908725,Brighton town,47375.0,21292.0
5000910075,Brunswick town,128125.0,32976.0
5000911800,Canaan town,55606.0,3733.0
5000915250,Concord town,73304.0,9320.0
5000921250,East Haven town,38438.0,31249.0
5000925975,Ferdinand town,13849.0,172.0
5000929125,Granby town,57083.0,51231.0
5000930775,Guildhall town,115000.0,45985.0
5000939700,Lemington town,55000.0,42437.0
5000939775,Lewis town,,
5000941425,Lunenburg town,53125.0,8642.0
5000942475,Maidstone town,85833.0,31928.0
5000952750,Norton town,65625.0,23493.0
5000975175,Victory town,,
5000976337,Warner's grant,,
5000976562,Warren's gore,,
5001102500,Bakersfield town,83462.0,18450.0
5001105425,Berkshire town,71406.0,21049.0
5001124050,Enosburgh town,63828.0,17162.0
5001124925,Fairfax town,128963.0,29451.0
5001125225,Fairfield town,87019.0,21892.0
5001126500,Fletcher town,105833.0,9059.0
5001127100,Franklin town,79917.0,20711.0
5001127700,Georgia town,105011.0,8635.0
5001133025,Highgate town,81017.0,14337.0
5001145850,Montgomery town,53289.0,24023.0
5001159125,Richford town,56853.0,12600.0
5001161675,St. Albans city,57980.0,7287.0
5001161750,St. Albans town,90060.0,18679.0
5001164600,Sheldon town,78533.0,24942.0
5001171725,Swanton town,81371.0,13820.0
5001300860,Alburgh town,76429.0,22453.0
5001329275,Grand Isle town,100846.0,22253.0
5001335875,Isle La Motte town,82500.0,17030.0
