GEOID,town_name,pct_mobile_home,pct_mobile_home_moe,mobile_homes,mobile_homes_moe,total_housing_units,total_housing_units_moe
5000100325,Addison town,8.99390243902439,4.696541317694722,59,30,656,78
5000108575,Bridport town,9.146341463414634,5.803389499622703,60,37,656,98
5000109025,Bristol town,8.971668415529905,5.914073063000272,171,112,1906,142
5000116000,Cornwall town,7.829181494661921,6.211285113162926,44,34,562,101
5000126300,Ferrisburgh town,4.076086956521739,2.8666662999507366,60,42,1472,100
5000128600,Goshen town,4.545454545454546,3.780257798070879,5,4,110,25
5000129575,Granville town,14.285714285714285,15.648440120477783,41,44,287,63
5000131525,Hancock town,6.557377049180328,4.745251473439736,16,10,244,89
5000139325,Leicester town,7.571428571428572,3.1817605189580185,53,21,700,98
5000140075,Lincoln town,5.037037037037037,3.0073690434325653,34,20,675,69
5000144350,Middlebury town,1.557632398753894,1.5594707051918717,50,50,3210,156
5000145550,Monkton town,2.5442477876106198,1.7912733897324575,23,16,904,98
5000148700,New Haven town,12.484848484848484,7.054012273797801,103,57,825,94
5000153725,Orwell town,5.487804878048781,3.4118436827952277,36,22,656,75
5000153950,Panton town,0.6006006006006006,0.9052253134730117,2,3,333,49
5000159650,Ripton town,0.684931506849315,1.377073796548781,2,4,292,60
5000162575,Salisbury town,6.116642958748222,3.64138288172306,43,25,703,90
5000165050,Shoreham town,10.655737704918032,5.152678472426935,65,30,610,88
5000170075,Starksboro town,27.577639751552795,7.131491662244326,222,53,805,80
5000174650,Vergennes city,5.852842809364549,2.874513589571958,70,34,1196,87
5000176075,Waltham town,17.431192660550458,12.043306205568758,38,25,218,46
5000183275,Weybridge town,3.2085561497326207,1.9457697758143961,12,7,374,62
5000183800,Whiting town,11.210762331838566,6.83552661925532,25,13,223,71
5000301450,Arlington town,3.3734939759036147,2.5104046703867215,42,31,1245,118
5000304825,Bennington town,5.38802343861655,1.7718303473713215,377,123,6997,288
5000317725,Dorset town,2.209944751381215,2.630798945152512,32,38,1448,121
5000327962,Glastenbury town,0.0,500.0,0,10,2,4
5000339025,Landgrove town,0.0,5.154639175257731,0,10,194,46
5000342850,Manchester town,0.9803921568627451,0.7752270662009833,28,22,2856,254
5000355000,Peru town,1.610541727672035,1.7686192065013115,11,12,683,86
5000357025,Pownal town,19.859961807765757,8.87661378424947,312,135,1571,176
5000358600,Readsboro town,4.5855379188712515,3.24647604741974,26,18,567,84
5000361000,Rupert town,2.4875621890547266,2.0521999733895844,10,8,402,81
5000362875,Sandgate town,5.111821086261981,5.605908533008287,16,17,313,85
5000363175,Searsburg town,9.859154929577464,14.506029193079769,7,10,71,25
5000363550,Shaftsbury town,3.510971786833856,2.9076255005197646,56,46,1595,168
5000369775,Stamford town,1.9955654101995564,2.231097212316521,9,10,451,56
5000371425,Sunderland town,1.4311270125223614,1.621732345425435,8,9,559,76
5000385075,Winhall town,4.318734793187348,2.451450984444501,71,40,1644,114
5000385675,Woodford town,10.163934426229508,6.1233725198235165,31,18,305,49
5000502875,Barnet town,12.357414448669202,4.549681044138076,130,46,1052,107
5000510450,Burke town,3.303964757709251,2.335338617133209,30,21,908,89
5000517125,Danville town,5.709754163362411,6.215253839239044,72,78,1261,134
5000530550,Groton town,5.323741007194244,3.677778391366578,37,25,695,100
5000531825,Hardwick town,13.04075235109718,8.238608393973065,208,130,1595,147
5000537900,Kirby town,16.845878136200717,16.585487606276068,47,45,279,64
5000541725,Lyndon town,13.947797716150081,5.178485915892653,342,125,2452,160
5000547725,Newark town,9.07504363001745,4.918353693352331,52,27,573,89
5000554400,Peacham town,0.7299270072992701,1.102802780160051,4,6,548,99
5000561525,Ryegate town,6.208053691275168,3.9664277724117993,37,23,596,88
5000562200,St. Johnsbury town,4.615817618913594,2.150948468072769,164,76,3553,174
5000564075,Sheffield town,18.13186813186813,9.593722405801373,66,33,364,63
5000569925,Stannard town,14.685314685314685,9.85303627933757,21,13,143,37
5000571575,Sutton town,13.480885311871226,6.595241842872179,67,31,497,79
5000575700,Walden town,8.148148148148149,4.889048507183546,55,32,675,99
5000577125,Waterford town,2.797202797202797,2.6492738031199567,16,15,572,77
5000583500,Wheelock town,19.45137157107232,8.527949069189948,78,32,401,62
5000706550,Bolton town,9.467455621301776,4.112710032236892,64,26,676,104
5000710300,Buels gore,0.0,76.92307692307693,0,10,13,13
