GEOID,town_name,percent_elderly,percent_elderly_moe,elderly_65plus,elderly_65plus_moe,total_population,total_population_moe
5000100325,Addison town,27.148936170212767,6.32232404285933,319,54.735728733616035,1175,185
5000108575,Bridport town,24.291497975708502,6.468953523622528,300,62.66578013557319,1235,204
5000109025,Bristol town,21.942826892535734,4.833447209138964,829,182.51849221380283,3778,26
5000116000,Cornwall town,25.662251655629138,6.107244199621314,310,51.19570294468082,1208,207
5000126300,Ferrisburgh town,23.299511461856444,3.794391278241664,620,100.89103032480142,2661,17
5000128600,Goshen town,37.32394366197183,19.223884341613743,53,22.60530911091463,142,41
5000129575,Granville town,18.357487922705314,7.728004300801975,76,25.942243542145693,414,102
5000131525,Hancock town,19.770114942528735,8.063336212371246,86,27.202941017470888,435,112
5000139325,Leicester town,24.463937621832358,8.415285051356705,251,77.92303895511263,1026,152
5000140075,Lincoln town,22.309899569583933,4.616144177274345,311,54.26785420486054,1394,155
5000144350,Middlebury town,20.74114441416894,2.5566151326614457,1903,234.52505196673553,9175,22
5000145550,Monkton town,20.210105052526263,5.003710199841348,404,81.34494452638098,1999,288
5000148700,New Haven town,22.209821428571427,4.2061811866657,398,61.37589103222861,1792,197
5000153725,Orwell town,24.034003091190108,5.819594302853429,311,60.423505360083176,1294,187
5000153950,Panton town,16.666666666666664,5.199299909607816,115,28.965496715920477,690,127
5000159650,Ripton town,30.511811023622048,12.62679114523706,155,52.01922721455981,508,123
5000162575,Salisbury town,30.416666666666664,8.946929541765078,365,79.8373346248483,1200,236
5000165050,Shoreham town,26.083530338849485,7.0809095394509445,331,71.82617907142215,1269,207
5000170075,Starksboro town,17.43166580711707,4.314462538396392,338,65.43699259593154,1939,299
5000174650,Vergennes city,21.598440545808966,4.74575725524912,554,121.61825520866512,2565,24
5000176075,Waltham town,45.35398230088495,13.841900040983521,205,45.36518488885502,452,95
5000183275,Weybridge town,25.224071702944943,6.908501393122457,197,41.43669871020132,781,137
5000183800,Whiting town,12.969924812030076,5.101202599234476,69,18.920887928424502,532,150
5000301450,Arlington town,20.70823710546574,5.316486150736472,538,113.65737987477979,2598,379
5000304825,Bennington town,25.18197914617352,2.8176260879640225,3840,429.62076299918283,15249,23
5000317725,Dorset town,21.892925430210326,6.3932772459750735,458,115.63304026099115,2092,307
5000327962,Glastenbury town,,,0,34.64101615137755,0,10
5000339025,Landgrove town,36.888888888888886,22.845346595264548,83,43.55456348076513,225,74
5000342850,Manchester town,25.746767721801163,4.555095217850311,1155,204.2890109624108,4486,18
5000355000,Peru town,21.428571428571427,11.277227601733912,93,37.815340802378074,434,145
5000357025,Pownal town,27.503828483920365,6.3458564149633006,898,207.1038386896776,3265,22
5000358600,Readsboro town,20.57001239157373,6.838907322644305,166,46.3033476111609,807,146
5000361000,Rupert town,42.30769230769231,17.379122849458607,286,91.55872432488343,676,174
5000362875,Sandgate town,25.97701149425287,11.312451306768766,113,33.98529093593286,435,137
5000363175,Searsburg town,6.976744186046512,22.861676880301474,9,29.30870177950569,129,47
5000363550,Shaftsbury town,21.790962018297755,4.836025531560955,786,174.3961008738441,3607,17
5000369775,Stamford town,20.456905503634477,4.500866850327345,197,34.539832078341085,963,128
5000371425,Sunderland town,16.706067769897555,4.774109417007943,212,49.15282290977803,1269,212
5000385075,Winhall town,20.611702127659576,8.09336270291296,155,51.54609587543949,752,157
5000385675,Woodford town,35.1063829787234,13.47404298872778,99,31.144823004794873,282,62
5000502875,Barnet town,28.787061994609164,6.4312689539499175,534,98.06630410084801,1855,236
5000510450,Burke town,21.716021260440392,5.089119274527644,286,51.59457335805772,1317,197
5000517125,Danville town,24.703389830508474,5.538790936301514,583,113.14150432091665,2360,265
5000530550,Groton town,20.47569803516029,7.038225309243602,198,52.24940191045253,967,213
5000531825,Hardwick town,26.981450252951095,5.931311710581849,800,175.74413219222996,2965,24
5000537900,Kirby town,19.17989417989418,9.001598368062384,145,55.40758070878027,756,206
5000541725,Lyndon town,21.82468694096601,3.837467107923314,1220,214.478437144623,5590,18
5000547725,Newark town,19.944979367262725,8.53958785781722,145,51.068581339214816,727,177
5000554400,Peacham town,33.59639233370913,10.599860903185327,298,68.40321629865075,887,192
5000561525,Ryegate town,22.096317280453256,5.051030325727526,234,39.54743986657038,1059,163
5000562200,St. Johnsbury town,21.131921824104236,3.572392700533917,1557,263.15204730345533,7368,27
5000564075,Sheffield town,19.19720767888307,6.562336763932511,110,31.11269837220809,573,110
5000569925,Stannard town,25.877192982456144,13.460827869187424,59,25.67099530598687,228,65
5000571575,Sutton town,21.645569620253163,6.33325131937018,171,38.43175770115127,790,148
5000575700,Walden town,20.443587270973964,5.823164684020232,212,46.74398357008097,1037,187
5000577125,Waterford town,21.42298670836591,6.104150682197119,274,62.88083968904996,1279,216
5000583500,Wheelock town,29.428172942817294,9.560482685574977,211,54.11099703387473,717,143
5000706550,Bolton town,6.706792777300086,2.984784362268683,78,32.49615361854384,1163,182
5000710300,Buels gore,73.68421052631578,168.78377983153737,14,30.364452901377952,19,14
5000710675,Burlington city,12.13430330162283,1.0834840986906529,5421,484.0299577505508,44675,33
5000713300,Charlotte town,22.318692543411643,5.19039008525449,874,203.13788420676238,3916,31
5000714875,Colchester town,17.94537624660018,2.1115023905547483,3167,372.61508289386245,17648,23
5000724175,Essex town,19.946161861757556,3.2593508811680305,2297,375.3211957776965,11516,22
5000724400,Essex Junction city,14.875497546977693,2.528749573569482,1607,273.1629550286788,10803,21
5000733475,Hinesburg town,25.752437473505722,7.288528566587679,1215,343.8415332678704,4718,18
5000734600,Huntington town,18.456556934700487,4.337441101573831,342,72.9314746868593,1853,183
5000736700,Jericho town,20.19945248337896,4.445307921391827,1033,227.25756313047097,5114,29
5000745250,Milton town,15.981056736930077,2.620947391188031,1721,282.18788067526924,10769,37
5000759275,Richmond town,19.52392402019716,6.301417712109656,812,262.0438894536562,4159,21
