GEOID,town_name,pct_renter_occupied,pct_renter_occupied_moe,renter_occupied,renter_occupied_moe,total_occupied,total_occupied_moe
5000100325,Addison town,10.816326530612246,5.260227016158163,53,25,490,58
5000108575,Bridport town,17.92452830188679,9.354012129854047,95,47,530,88
5000109025,Bristol town,28.694250403009136,8.033231964280235,534,144,1861,140
5000116000,Cornwall town,5.691056910569105,2.866134013449292,28,13,492,96
5000126300,Ferrisburgh town,14.654377880184333,6.734519671071275,159,72,1085,85
5000128600,Goshen town,0.0,14.285714285714285,0,10,70,19
5000129575,Granville town,12.62135922330097,8.184688428928862,26,15,206,61
5000131525,Hancock town,40.476190476190474,39.05519006088357,85,75,210,82
5000139325,Leicester town,14.537444933920703,7.456747227314785,66,32,454,76
5000140075,Lincoln town,11.937716262975778,3.8661983524046954,69,21,578,64
5000144350,Middlebury town,34.883720930232556,6.670831445633457,975,177,2795,168
5000145550,Monkton town,3.4238488783943333,2.8616507477556814,29,24,847,99
5000148700,New Haven town,21.822849807445444,8.009382033370088,170,59,779,93
5000153725,Orwell town,12.716763005780345,6.940681465156697,66,35,519,67
5000153950,Panton town,16.28787878787879,9.453000714469443,43,24,264,42
5000159650,Ripton town,9.090909090909092,7.413988215701679,17,13,187,53
5000162575,Salisbury town,11.252653927813164,7.038702703223231,53,32,471,77
5000165050,Shoreham town,19.11764705882353,8.540103131215423,104,44,544,78
5000170075,Starksboro town,8.677098150782362,4.524334893658093,61,31,703,82
5000174650,Vergennes city,27.900797165633307,7.38373131267099,315,80,1129,84
5000176075,Waltham town,13.725490196078432,10.260786244900856,28,20,204,45
5000183275,Weybridge town,16.314199395770395,9.806629282876715,54,31,331,59
5000183800,Whiting town,34.56221198156682,28.960219979480655,75,58,217,70
5000301450,Arlington town,15.972222222222221,5.6116386557182,138,45,864,113
5000304825,Bennington town,41.55394778232148,6.676238523490744,2642,401,6358,335
5000317725,Dorset town,9.307875894988067,5.166700940475623,78,42,838,113
5000327962,Glastenbury town,,,0,10,0,10
5000339025,Landgrove town,5.607476635514018,7.750960432912361,6,8,107,39
5000342850,Manchester town,26.204656199242017,8.19523974676449,484,144,1847,178
5000355000,Peru town,20.958083832335326,12.992912554289257,35,19,167,50
5000357025,Pownal town,7.3811213626685594,5.235608287806519,104,73,1409,144
5000358600,Readsboro town,23.589743589743588,11.876933212102776,92,43,390,73
5000361000,Rupert town,6.2717770034843205,7.1638173295860765,18,20,287,76
5000362875,Sandgate town,5.660377358490567,6.450761486890065,12,13,212,75
5000363175,Searsburg town,0.0,20.0,0,10,50,19
5000363550,Shaftsbury town,17.65625,7.971839725598779,226,98,1280,161
5000369775,Stamford town,4.632152588555858,2.7886232109449445,17,10,367,47
5000371425,Sunderland town,8.108108108108109,4.586522631935564,33,18,407,61
5000385075,Winhall town,19.50354609929078,13.782162453729255,55,37,282,61
5000385675,Woodford town,4.098360655737705,4.983679482029215,5,6,122,24
5000502875,Barnet town,20.10652463382157,7.457271938246899,151,53,751,90
5000510450,Burke town,11.387900355871885,6.405731288751794,64,35,562,74
5000517125,Danville town,15.88345864661654,11.073630535413075,169,116,1064,130
5000530550,Groton town,5.594405594405594,5.508507699360372,24,23,429,97
5000531825,Hardwick town,23.55588897224306,9.748763987739212,314,126,1333,135
5000537900,Kirby town,6.4638783269961975,3.756052927336615,17,9,263,63
5000541725,Lyndon town,14.421827631009096,4.615004142619043,333,104,2309,161
5000547725,Newark town,9.246575342465754,7.7779260645019015,27,22,292,61
5000554400,Peacham town,23.902439024390244,10.295409020055295,98,37,410,85
5000561525,Ryegate town,15.280898876404494,7.347225684722904,68,31,445,68
5000562200,St. Johnsbury town,40.4470300061237,5.642192945089865,1321,174,3266,150
5000564075,Sheffield town,16.26984126984127,10.374339086319848,41,25,252,47
5000569925,Stannard town,1.9047619047619049,2.9019415573400478,2,3,105,28
5000571575,Sutton town,15.0,10.61808961915908,54,37,360,64
5000575700,Walden town,6.25,2.9875397406827724,29,13,464,77
5000577125,Waterford town,0.9940357852882704,1.2010668265928999,5,6,503,71
5000583500,Wheelock town,2.1201413427561837,2.863555693510648,6,8,283,61
5000706550,Bolton town,18.43065693430657,10.27321403580856,101,53,548,103
5000710300,Buels gore,0.0,76.92307692307693,0,10,13,13
5000710675,Burlington city,58.483775137111515,3.711476538624808,10237,559,17504,566
5000713300,Charlotte town,4.537908135030437,3.0666328979430064,82,55,1807,149
5000714875,Colchester town,25.87422447828539,4.124422955817901,1835,280,7092,327
5000724175,Essex town,24.08387622149837,6.814242763535101,1183,328,4912,277
5000724400,Essex Junction city,40.705734089477005,6.729061855695538,1938,307,4761,225
5000733475,Hinesburg town,16.414488766620817,6.4255185174928116,358,136,2181,206
5000734600,Huntington town,20.023557126030624,11.940791041794837,170,99,849,109
5000736700,Jericho town,7.122507122507122,5.993235946599383,150,126,2106,104
5000745250,Milton town,13.127962085308056,3.9779706354330604,554,164,4220,273
5000759275,Richmond town,21.172638436482085,12.91907515245585,390,235,1842,177
5000762050,St. George town,8.852459016393443,7.794984244213529,27,23,305,68
5000764300,Shelburne town,30.063006300630065,8.048206223100804,1002,261,3333,206
5000766175,South Burlington city,38.41115571519121,5.239042182406086,3636,470,9466,412
5000773975,Underhill town,20.2172096908939,15.751481088590674,242,185,1197,180
5000780350,Westford town,13.927227101631118,7.6633871812848735,111,60,797,82
5000784475,Williston town,24.949106536982583,6.785354927422746,1103,291,4421,292
5000785150,Winooski city,64.79765967820576,10.203679616906186,2658,384,4102,257
5000902125,Averill town,0.0,111.11111111111111,0,10,9,9
5000902162,Avery's gore,,,0,10,0,10
5000906325,Bloomfield town,16.8141592920354,16.668859085807174,19,18,113,33
5000908725,Brighton town,48.91696750902527,13.833650435772674,271,65,554,83
5000910075,Brunswick town,4.878048780487805,7.50426769482146,2,3,41,14
5000911800,Canaan town,8.59375,4.840776699932461,33,18,384,54
5000915250,Concord town,6.370656370656371,5.088499243273168,33,26,518,68
5000921250,East Haven town,6.086956521739131,5.519040777800204,7,6,115,34
5000925975,Ferdinand town,0.0,24.390243902439025,0,10,41,32
