GEOID,town_name,pct_no_vehicle,pct_no_vehicle_moe,no_vehicle_available,no_vehicle_available_moe,occupied_housing_units,occupied_housing_units_moe
5000100325,Addison town,0.6122448979591837,0.8195369894697867,3,4,490,58
5000108575,Bridport town,1.509433962264151,1.3443232160860015,8,7,530,88
5000109025,Bristol town,6.125738850080602,3.896236093198597,114,72,1861,140
5000116000,Cornwall town,1.0162601626016259,1.6380627743853566,5,8,492,96
5000126300,Ferrisburgh town,2.9493087557603688,3.3260074366634877,32,36,1085,85
5000128600,Goshen town,2.857142857142857,4.355314341745064,2,3,70,19
5000129575,Granville town,1.4563106796116505,1.9890574473121234,3,4,206,61
5000131525,Hancock town,0.9523809523809524,1.4761817681244838,2,3,210,82
5000139325,Leicester town,3.7444933920704844,2.716482084878676,17,12,454,76
5000140075,Lincoln town,3.2871972318339098,2.107789100062733,19,12,578,64
5000144350,Middlebury town,10.876565295169947,4.342870552386011,304,120,2795,168
5000145550,Monkton town,0.0,1.1806375442739079,0,10,847,99
5000148700,New Haven town,1.797175866495507,1.301503520072675,14,10,779,93
5000153725,Orwell town,3.0828516377649327,2.156501805306953,16,11,519,67
5000153950,Panton town,4.924242424242424,4.6124696245938575,13,12,264,42
5000159650,Ripton town,0.0,5.347593582887701,0,10,187,53
5000162575,Salisbury town,2.9723991507431,3.011857930502843,14,14,471,77
5000165050,Shoreham town,2.0220588235294117,2.224853914388501,11,12,544,78
5000170075,Starksboro town,3.698435277382646,2.4563858151857394,26,17,703,82
5000174650,Vergennes city,7.971656333038086,4.029715062233337,90,45,1129,84
5000176075,Waltham town,0.9803921568627451,1.9726745295776833,2,4,204,45
5000183275,Weybridge town,0.0,3.0211480362537766,0,10,331,59
5000183800,Whiting town,17.050691244239633,19.678313879203273,37,41,217,70
5000301450,Arlington town,3.4722222222222223,3.043331688828812,30,26,864,113
5000304825,Bennington town,13.699276502044668,4.633478329387343,871,291,6358,335
5000317725,Dorset town,2.5059665871121717,2.6469565614577117,21,22,838,113
5000327962,Glastenbury town,,,0,10,0,10
5000339025,Landgrove town,1.8691588785046727,2.8853238988835583,2,3,107,39
5000342850,Manchester town,4.331348132106118,2.578676424185645,80,47,1847,178
5000355000,Peru town,0.0,5.9880239520958085,0,10,167,50
5000357025,Pownal town,0.7806955287437899,1.2091647193404438,11,17,1409,144
5000358600,Readsboro town,7.179487179487179,4.807048502328658,28,18,390,73
5000361000,Rupert town,2.4390243902439024,2.523092005963633,7,7,287,76
5000362875,Sandgate town,1.8867924528301887,2.0013841324514257,4,4,212,75
5000363175,Searsburg town,0.0,20.0,0,10,50,19
5000363550,Shaftsbury town,3.5937499999999996,4.1652254713589905,46,53,1280,161
5000369775,Stamford town,0.544959128065395,0.8204125280096463,2,3,367,47
5000371425,Sunderland town,2.9484029484029484,2.9813342637743747,12,12,407,61
5000385075,Winhall town,0.0,3.546099290780142,0,10,282,61
5000385675,Woodford town,4.098360655737705,4.176909713079697,5,5,122,24
5000502875,Barnet town,2.6631158455392807,1.7602000653689935,20,13,751,90
5000510450,Burke town,3.0249110320284696,3.9348013839801297,17,22,562,74
5000517125,Danville town,8.740601503759398,9.458974966954317,93,100,1064,130
5000530550,Groton town,6.993006993006993,8.768448869372312,30,37,429,97
5000531825,Hardwick town,4.876219054763691,4.155480066270383,65,55,1333,135
5000537900,Kirby town,5.323193916349809,6.588451957476711,14,17,263,63
5000541725,Lyndon town,6.27977479428324,3.836244985871147,145,88,2309,161
5000547725,Newark town,0.684931506849315,1.377315503217767,2,4,292,61
5000554400,Peacham town,2.9268292682926833,3.708513711812131,12,15,410,85
5000561525,Ryegate town,4.044943820224719,4.75940833414329,18,21,445,68
5000562200,St. Johnsbury town,12.767911818738517,3.5696218559122097,417,115,3266,150
5000564075,Sheffield town,7.142857142857142,8.04754085779681,18,20,252,47
5000569925,Stannard town,3.8095238095238098,3.942647541907308,4,4,105,28
5000571575,Sutton town,0.0,2.7777777777777777,0,10,360,64
5000575700,Walden town,0.0,2.1551724137931036,0,10,464,77
5000577125,Waterford town,3.5785288270377733,2.8287641446563554,18,14,503,71
5000583500,Wheelock town,2.4734982332155475,2.186150853399017,7,6,283,61
5000706550,Bolton town,0.7299270072992701,1.1034525407094553,4,6,548,103
5000710300,Buels gore,7.6923076923076925,17.200522903844536,1,2,13,13
5000710675,Burlington city,13.168418647166364,2.23472616252572,2305,384,17504,566
5000713300,Charlotte town,6.585500830105147,5.230257699833938,119,94,1807,149
5000714875,Colchester town,6.316976875352511,2.4146979257511645,448,170,7092,327
5000724175,Essex town,5.883550488599348,5.120695030479815,289,251,4912,277
5000724400,Essex Junction city,5.965133375341314,3.288727177292515,284,156,4761,225
5000733475,Hinesburg town,2.430077945896378,2.303987691625793,53,50,2181,206
5000734600,Huntington town,2.3557126030624262,2.1416045527497407,20,18,849,109
5000736700,Jericho town,2.849002849002849,2.615372869307726,60,55,2106,104
5000745250,Milton town,1.3270142180094786,1.4243902782585223,56,60,4220,273
5000759275,Richmond town,1.1400651465798046,1.2534392864336503,21,23,1842,177
5000762050,St. George town,2.9508196721311477,4.6370703169294725,9,14,305,68
5000764300,Shelburne town,4.5004500450045,2.7444054651593164,150,91,3333,206
5000766175,South Burlington city,4.944010141559265,2.165797721812927,468,204,9466,412
5000773975,Underhill town,0.0,0.835421888053467,0,10,1197,180
5000780350,Westford town,1.631116687578419,1.6397270479324586,13,13,797,82
5000784475,Williston town,4.433386111739425,2.4603730483777433,196,108,4421,292
5000785150,Winooski city,13.432471964895173,4.539922755860569,551,183,4102,257
5000902125,Averill town,0.0,111.11111111111111,0,10,9,9
5000902162,Avery's gore,,,0,10,0,10
5000906325,Bloomfield town,6.1946902654867255,7.3071278761694645,7,8,113,33
5000908725,Brighton town,11.732851985559567,6.037720899216389,65,32,554,83
5000910075,Brunswick town,0.0,24.390243902439025,0,10,41,14
5000911800,Canaan town,2.604166666666667,2.887896834091505,10,11,384,54
5000915250,Concord town,0.7722007722007722,0.9705592717017717,4,5,518,68
5000921250,East Haven town,6.086956521739131,5.519040777800204,7,6,115,34
5000925975,Ferdinand town,0.0,24.390243902439025,0,10,41,32
5000929125,Granby town,0.0,24.390243902439025,0,10,41,14
5000930775,Guildhall town,1.89873417721519,2.6019739303024205,3,4,158,50
5000939700,Lemington town,9.25925925925926,10.0641499251229,5,5,54,23
5000939775,Lewis town,,,0,10,0,10
5000941425,Lunenburg town,2.5773195876288657,1.7570866352029253,15,10,582,83
5000942475,Maidstone town,0.0,8.19672131147541,0,10,122,33
5000952750,Norton town,3.571428571428571,3.732366042959064,2,2,56,17
5000975175,Victory town,0.0,28.57142857142857,0,10,35,17
5000976337,Warner's grant,,,0,10,0,10
5000976562,Warren's gore,,,0,10,0,10
5001102500,Bakersfield town,2.9017857142857144,2.939022032243846,13,13,448,72
5001105425,Berkshire town,5.683563748079877,5.742507567095824,37,37,651,94
5001124050,Enosburgh town,7.540702656383891,4.338892288188247,88,50,1167,106
5001124925,Fairfax town,3.414634146341464,2.886733387964481,63,53,1845,154
5001125225,Fairfield town,1.364256480218281,1.6468292419620973,10,12,733,96
5001126500,Fletcher town,0.6198347107438017,1.4507651987789936,3,7,484,89
5001127100,Franklin town,4.700162074554295,2.9151711962873854,29,17,617,125
5001127700,Georgia town,1.3179571663920924,1.4874452416267654,24,27,1821,164
5001133025,Highgate town,4.557823129251701,3.5185301233761264,67,51,1470,189
5001145850,Montgomery town,4.513888888888888,5.190404725341283,26,29,576,161
5001159125,Richford town,4.892966360856269,3.633576447973786,48,35,981,138
5001161675,St. Albans city,17.60359781561195,6.223161081743915,548,191,3113,184
5001161750,St. Albans town,2.407261247040253,2.2227713278804564,61,56,2534,251
5001164600,Sheldon town,1.8619934282584885,2.0157883317740093,17,18,913,206
5001171725,Swanton town,4.942528735632184,3.463270638665988,129,90,2610,170
5001300860,Alburgh town,0.6361323155216284,1.0210888563930514,5,8,786,101
5001329275,Grand Isle town,0.7567567567567568,1.0842969309830657,7,10,925,102
5001335875,Isle La Motte town,2.3622047244094486,2.7996368642798903,6,7,254,53
5001350650,North Hero town,1.1583011583011582,1.1707016990839514,6,6,518,76
5001367000,South Hero town,3.0441400304414,2.9161842256937347,20,19,657,81
5001504375,Belvidere town,5.670103092783505,5.855395967671493,11,11,194,50
5001511500,Cambridge town,6.7807351077313065,5.042866837148657,107,79,1578,141
5001523500,Eden town,0.3502626970227671,0.5275682078344793,2,3,571,78
5001523725,Elmore town,1.7500000000000002,2.0311527861352525,7,8,400,81
5001535050,Hyde Park town,1.4162077104642015,1.423940302827054,18,18,1271,133
5001537075,Johnson town,6.079664570230608,3.6146424587627757,87,51,1431,142
5001546675,Morristown town,3.167271527548664,2.251267931069569,96,68,3031,179
5001570525,Stowe town,6.595218466611706,4.691743702196601,160,113,2426,207
5001577425,Waterville town,0.0,3.003003003003003,0,10,333,69
5001585375,Wolcott town,10.465116279069768,5.976457866895509,72,40,688,91
5001707375,Bradford town,4.470359572400389,3.8263678584998497,46,39,1029,121
5001707600,Braintree town,1.36986301369863,1.5777412423284831,7,8,511,73
