projectIdentifier,programArea,programFy,disasterNumber,projectCounties,projectType,status,subrecipient,dateApproved,projectAmount,federalShareObligated,costSharePercentage,benefitCostRatio,netValueBenefits,numberOfFinalProperties,numberOfProperties,federalShareObligated_adj,flood_mitigation_flag,subcategory,acquisition_buyouts,admin,ecosystem_restoration,equipment,flood_control,infrastructure_protection,infrastructure_stormwater,other,planning,structure_protection,funding_acquisition_buyouts,funding_admin,funding_ecosystem_restoration,funding_equipment,funding_flood_control,funding_infrastructure_protection,funding_infrastructure_stormwater,funding_other,funding_planning,funding_structure_protection,town_assigned,geo_level
DR-4532-0005-R,HMGP,2020,4532.0,RUTLAND,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,Pittsfield (Town of),2025-01-13T00:00:00.000Z,155765.23,140188.7,0.9,1.13,323000.0,1,1,174365.1492577342,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,174365.1492577342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PITTSFIELD TOWN,local
DR-4720-0047-R,HMGP,2023,4720.0,WASHINGTON,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Approved,Statewide,2024-11-14T00:00:00.000Z,316721.0,237540.75,0.75,0.0,0.0,1,1,250995.47217088888,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,250995.47217088888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,statewide
DR-4720-0069-R,HMGP,2023,4720.0,WASHINGTON,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Approved,Statewide,2025-04-21T00:00:00.000Z,354357.0,265767.75,0.75,0.0,0.0,1,1,280821.2986573662,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,280821.2986573662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,statewide
DR-4720-0043-R,HMGP,2023,4720.0,WASHINGTON,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Approved,Statewide,2024-11-14T00:00:00.000Z,162644.0,121983.0,0.75,0.0,0.0,1,1,128892.3297658256,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,128892.3297658256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,statewide
DR-4022-0109-R,HMGP,2011,4022.0,WASHINGTON,202.1: Elevation of Private Structures - Riverine,Closed,Waterbury (Town of),2016-05-11T00:00:00.000Z,0.0,0.0,0.75,0.0,0.0,0,1,0.0,1.0,elevation,False,False,False,False,False,False,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WATERBURY TOWN,local
DR-4720-0062-R,HMGP,2023,4720.0,WASHINGTON,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Approved,Statewide,2025-01-02T00:00:00.000Z,1302932.0,977199.0,0.75,0.0,0.0,3,3,1032549.2548538322,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,1032549.2548538322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,statewide
DR-4022-0124-R,HMGP,2011,4022.0,WASHINGTON,403.1: Stormwater Management - Culverts,Closed,Cabot (Town of),2024-06-06T00:00:00.000Z,104618.74,78464.05,0.75,1.05,193059.0,0,0,112315.92737516639,1.0,stormwater_culverts,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,112315.92737516639,0.0,0.0,0.0,CABOT TOWN,local
DR-4022-0100-R,HMGP,2011,4022.0,WASHINGTON,204.3: Dry Floodproofing Public Structures - Riverine,Closed,Warren (Town of),2022-09-21T00:00:00.000Z,6293.36,4720.02,0.75,4.15,464119.0,1,1,6756.386186149362,1.0,dry_floodproofing,False,False,False,False,False,False,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6756.386186149362,WARREN TOWN,local
DR-4022-0065-R,HMGP,2011,4022.0,WASHINGTON,403.1: Stormwater Management - Culverts,Closed,Barre,2022-05-23T00:00:00.000Z,0.0,0.0,0.75,2.75,444619.0,0,0,0.0,1.0,stormwater_culverts,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BARRE CITY,local
DR-4720-0035-R,HMGP,2023,4720.0,WASHINGTON,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Approved,Statewide,2024-10-01T00:00:00.000Z,322438.0,241828.5,0.75,0.0,0.0,0,1,255526.08780547255,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,255526.08780547255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,statewide
DR-4022-0056-R,HMGP,2011,4022.0,WASHINGTON,200.3: Acquisition of Public Real Property (Structures and Land) - Riverine,Closed,MORETOWN TOWN CLERK,2016-05-11T00:00:00.000Z,0.0,0.0,0.75,0.0,0.0,0,1,0.0,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MORETOWN TOWN,local
DR-4163-0009-F,HMGP,2014,4163.0,RUTLAND,"600.1: Warning Systems (as a Component of a Planned, Adopted, and Exercised Risk Reduction Plan)",Closed,Chittenden (County),2022-08-25T00:00:00.000Z,38595.8,28570.8,0.74,0.0,0.0,0,0,38859.84965994781,0.0,warning_systems,False,False,False,True,False,False,False,False,False,False,0.0,0.0,0.0,38859.84965994781,0.0,0.0,0.0,0.0,0.0,0.0,,regional
DR-4720-0034-R,HMGP,2023,4720.0,WASHINGTON,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Approved,Statewide,2024-10-02T00:00:00.000Z,858500.0,643875.0,0.75,0.0,0.0,1,3,680345.2024296087,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,680345.2024296087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,statewide
DR-4720-0023-R,HMGP,2023,4720.0,WASHINGTON,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Approved,Marshfield (Town of),2024-10-02T00:00:00.000Z,803500.0,602625.0,0.75,0.0,0.0,0,2,636758.7305208975,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,636758.7305208975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MARSHFIELD TOWN,local
DR-4720-0067-R,HMGP,2023,4720.0,WASHINGTON,201.1: Relocation of Private Structures - Riverine,Approved,Statewide,2025-04-21T00:00:00.000Z,430599.0,322949.25,0.75,0.0,0.0,2,2,341241.65849852894,1.0,relocation,True,False,False,False,False,False,False,False,False,False,341241.65849852894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,statewide
DR-4720-0070,HMGP,2023,4720.0,WASHINGTON,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Pending,Statewide,,491888.0,,0.75,0.0,0.0,1,1,,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,statewide
DR-4330-0007-R,HMGP,2017,4330.0,WASHINGTON,601.2: Generators - Regular,Closed,Marshfield (Town of),2022-12-17T00:00:00.000Z,56731.5,42548.63,0.75,1.08,70189.0,0,0,55886.840148346026,0.0,generators,False,False,False,True,False,False,False,False,False,False,0.0,0.0,0.0,55886.840148346026,0.0,0.0,0.0,0.0,0.0,0.0,MARSHFIELD TOWN,local
DR-4720-0019-R,HMGP,2023,4720.0,WASHINGTON,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Approved,Waterbury (Town of),2024-10-02T00:00:00.000Z,828900.0,621675.0,0.75,0.0,0.0,0,2,656887.7557296478,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,656887.7557296478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WATERBURY TOWN,local
DR-4720-0036-R,HMGP,2023,4720.0,WASHINGTON,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Approved,Statewide,2024-12-16T00:00:00.000Z,595030.0,446272.5,0.75,0.0,0.0,1,1,471550.1523607339,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,471550.1523607339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,statewide
