GEOID,town_name,total_population,occupied_housing_units,funding_acquisition_buyouts,funding_admin,funding_ecosystem_restoration,funding_equipment,funding_flood_control,funding_infrastructure_protection,funding_infrastructure_stormwater,funding_other,funding_planning,funding_structure_protection,federalShareObligated_adj,numberOfFinalProperties,numberOfProperties,2011_2022,2023_plus,pre_2011,cost_per_property,cost_per_final_property,share_acquisition_buyouts,share_admin,share_ecosystem_restoration,share_equipment,share_flood_control,share_infrastructure_protection,share_infrastructure_stormwater,share_other,share_planning,share_structure_protection,funding_per_capita,log_funding_per_capita,funding_per_occupied_unit,log_funding_per_occupied_unit,has_funding
5000100325.0,Addison town,1175.0,490.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
5001900475.0,Albany town,934.0,394.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
5001300860.0,Alburgh town,1832.0,786.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
5002701300.0,Andover town,616.0,238.0,145285.18396558578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145285.18396558578,1.0,1.0,145285.18396558578,0.0,0.0,145285.18396558578,145285.18396558578,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.85257137270418,5.467437885855917,610.4419494352344,6.415820019198606,True
5000301450.0,Arlington town,2598.0,864.0,0.0,0.0,0.0,0.0,4473.224018482285,4473.224018482285,0.0,0.0,0.0,4473.224018482285,13419.672055446856,1.0,1.0,13419.672055446856,0.0,0.0,13419.672055446856,13419.672055446856,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,5.165385702635433,1.8189506979416157,15.53202784195238,2.8052995807729393,True
5002501900.0,Athens town,431.0,179.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
5000902125.0,Averill town,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
5000902162.0,Avery's gore,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
5001102500.0,Bakersfield town,1109.0,448.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
5002702575.0,Baltimore town,361.0,134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
5002702725.0,Barnard town,1211.0,478.0,213676.54642081494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213676.54642081494,1.0,1.0,213676.54642081494,0.0,0.0,213676.54642081494,213676.54642081494,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.44636368357962,5.178668386820436,447.02206364187225,6.1048424804028905,True
5000502875.0,Barnet town,1855.0,751.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
5002303175.0,Barre city,8412.0,4094.0,1304283.2296981895,0.0,0.0,0.0,0.0,0.0,264206.8612855592,0.0,0.0,122199.89159482054,1690689.9825785693,8.0,10.0,1240560.5999576983,450129.382620871,0.0,169068.99825785693,211336.24782232117,0.7714502618090583,0.0,0.0,0.0,0.0,0.0,0.1562716192844545,0.0,0.0,0.07227811890648717,200.98549483815611,5.3081958870910055,412.96775343882985,6.02578808054734,True
5002303250.0,Barre town,8005.0,3525.0,462245.3400660518,0.0,0.0,0.0,0.0,0.0,87506.99753915785,0.0,0.0,0.0,549752.3376052097,3.0,3.0,87506.99753915785,0.0,462245.3400660518,183250.77920173656,183250.77920173656,0.8408246922235031,0.0,0.0,0.0,0.0,0.0,0.15917530777649685,0.0,0.0,0.0,68.67611962588504,4.243857642501695,155.95810995892472,5.055978954198457,True
5001903550.0,Barton town,2815.0,1176.0,46706.28859679178,0.0,20263.39303875069,0.0,0.0,0.0,7001.298869951173,0.0,0.0,0.0,73970.98050549364,1.0,1.0,0.0,0.0,73970.98050549364,73970.98050549364,73970.98050549364,0.6314136743573788,0.0,0.27393706153787944,0.0,0.0,0.0,0.09464926410474178,0.0,0.0,0.0,26.27743534831035,3.3060598163971298,62.90049362712045,4.157327086347712,True
5001504375.0,Belvidere town,422.0,194.0,43281.2602951597,0.0,0.0,0.0,0.0,0.0,31841.467801782368,0.0,0.0,0.0,75122.72809694207,1.0,1.0,17335.281860681214,0.0,57787.446236260854,75122.72809694207,75122.72809694207,0.5761406885983618,0.0,0.0,0.0,0.0,0.0,0.42385931140163824,0.0,0.0,0.0,178.01594335768263,5.187474870911677,387.23055720073233,5.961599382734238,True
5000304825.0,Bennington town,15249.0,6358.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
5002105200.0,Benson town,784.0,314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
5001105425.0,Berkshire town,1745.0,651.0,0.0,0.0,0.0,0.0,0.0,0.0,367999.39834710857,0.0,0.0,0.0,367999.39834710857,0.0,0.0,0.0,0.0,367999.39834710857,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,210.88790736223987,5.356057395982972,565.2832539894141,6.3390944017650215,True
5002305650.0,Berlin town,2880.0,1195.0,197667.83293959592,0.0,0.0,0.0,0.0,0.0,51953.78079864062,0.0,0.0,0.0,249621.61373823654,1.0,1.0,197667.83293959592,0.0,51953.78079864062,249621.61373823654,249621.61373823654,0.7918698624666313,0.0,0.0,0.0,0.0,0.0,0.20813013753336873,0.0,0.0,0.0,86.67417143688769,4.473627345589659,208.88837969726907,5.346575864156748,True
5002705800.0,Bethel town,1736.0,864.0,529401.3961200824,0.0,65666.56579930862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,595067.961919391,4.0,4.0,529401.3961200824,0.0,65666.56579930862,148766.99047984774,148766.99047984774,0.8896486283894345,0.0,0.11035137161056562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.7810840549487,5.840005071234235,688.7360670363321,6.536309012873557,True
5000906325.0,Bloomfield town,234.0,113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
5000706550.0,Bolton town,1163.0,548.0,275263.6404328988,0.0,0.0,0.0,0.0,0.0,68969.50190389072,0.0,0.0,138772.93608275236,483006.0784195419,8.0,9.0,414036.5765156512,0.0,68969.50190389072,53667.34204661576,60375.759802442735,0.5698968454674461,0.0,0.0,0.0,0.0,0.0,0.14279220280119004,0.0,0.0,0.2873109517313639,415.310471555926,6.031431307754204,881.3979533203319,6.782643148490016,True
5001707375.0,Bradford town,2827.0,1029.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
5001707600.0,Braintree town,1026.0,511.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
5002107750.0,Brandon town,4120.0,1703.0,1225474.210708647,0.0,0.0,0.0,0.0,0.0,2669177.4239813588,0.0,0.0,0.0,3894651.6346900053,8.0,8.0,3894651.6346900053,0.0,0.0,486831.45433625067,486831.45433625067,0.3146556677350139,0.0,0.0,0.0,0.0,0.0,0.6853443322649863,0.0,0.0,0.0,945.3037948276711,6.852563653680162,2286.9357807927217,7.73540528427043,True
5002507900.0,Brattleboro town,12122.0,5503.0,905943.9674004776,660837.0569579948,1065911.2414956975,0.0,0.0,0.0,716612.0768838038,0.0,0.0,74218.69417723965,3423523.036915214,13.0,13.0,3349304.3427379737,0.0,74218.69417723965,263347.92591655493,263347.92591655493,0.2646233010941804,0.19302836576015742,0.31134922417701716,0.0,0.0,0.0,0.20932006858335953,0.0,0.0,0.021679040385285345,282.42229309645387,5.646937987170761,622.1193961321486,6.4347381475075975,True
5002708275.0,Bridgewater town,980.0,459.0,939270.7314499669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,939270.7314499669,5.0,5.0,939270.7314499669,0.0,0.0,187854.14628999337,187854.14628999337,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,958.4395218877213,6.866349282599028,2046.3414628539583,7.62429738310984,True
5000108575.0,Bridport town,1235.0,530.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
5000908725.0,Brighton town,1167.0,554.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
5000109025.0,Bristol town,3778.0,1861.0,796625.3759934192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,796625.3759934192,15.0,15.0,0.0,0.0,796625.3759934192,53108.35839956128,53108.35839956128,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.85901958534123,5.355921051504198,428.0630714634171,6.061603927849921,True
5001709325.0,Brookfield town,1486.0,636.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
5002509475.0,Brookline town,531.0,212.0,0.0,0.0,74956.06065897322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74956.06065897322,0.0,0.0,0.0,0.0,74956.06065897322,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.16018956492132,4.956954517307249,353.5663238630812,5.870895419764978,True
5001909850.0,Brownington town,1144.0,410.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
5000910075.0,Brunswick town,109.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
5000710300.0,Buels gore,19.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
5000510450.0,Burke town,1317.0,562.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
5000710675.0,Burlington city,44675.0,17504.0,876895.1060466941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16176.277503938729,893071.3835506329,3.0,3.0,876895.1060466941,0.0,16176.277503938729,297690.4611835443,297690.4611835443,0.9818869154225658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01811308457743413,19.99040589928669,3.0440654713914816,51.02098854836797,3.951647263076547,True
