GEOID,town_name,total_population,occupied_housing_units,nfip_claims,total_nfip_claims_paid,2011_2022_nfip_claims,2023_plus_nfip_claims,pre_2011_nfip_claims,2011_2022_nfip_claims_count,2023_plus_nfip_claims_count,pre_2011_nfip_claims_count,claims_per_capita,claims_per_housing_unit
5000100325,Addison town,1175,490,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5001900475,Albany town,934,394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5001300860,Alburgh town,1832,786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5002701300,Andover town,616,238,3.0,38465.7,9285.32,0.0,29180.379999999997,1.0,1.0,1.0,62.444318181818176,161.6205882352941
5000301450,Arlington town,2598,864,5.0,44870.8,44870.8,0.0,0.0,5.0,0.0,0.0,17.27128560431101,51.9337962962963
5002501900,Athens town,431,179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000902125,Averill town,9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000902162,Avery's gore,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
5001102500,Bakersfield town,1109,448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5002702575,Baltimore town,361,134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5002702725,Barnard town,1211,478,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5000502875,Barnet town,1855,751,4.0,103197.02,54543.11,48653.91,0.0,2.0,2.0,0.0,55.6318167115903,137.41280958721705
5002303175,Barre city,8412,4094,206.0,9554298.45,1075729.05,8412549.73,66019.67,58.0,137.0,11.0,1135.7939194008559,2333.7319125549584
5002303250,Barre town,8005,3525,6.0,69485.01999999999,17388.37,52096.65,0.0,2.0,4.0,0.0,8.68020237351655,19.712062411347514
5001903550,Barton town,2815,1176,15.0,1228633.94,24722.79,1203911.15,0.0,5.0,10.0,0.0,436.4596589698046,1044.7567517006803
5001504375,Belvidere town,422,194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000304825,Bennington town,15249,6358,11.0,98008.61,98008.61,0.0,0.0,11.0,0.0,0.0,6.4272155551183685,15.415006291286568
5002105200,Benson town,784,314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5001105425,Berkshire town,1745,651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5002305650,Berlin town,2880,1195,40.0,4898155.55,956414.56,3941740.99,0.0,11.0,29.0,0.0,1700.748454861111,4098.874937238494
5002705800,Bethel town,1736,864,9.0,689986.04,429216.77,260769.27000000002,0.0,5.0,4.0,0.0,397.4573963133641,798.5949537037037
5000906325,Bloomfield town,234,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000706550,Bolton town,1163,548,13.0,542290.3200000001,100900.04,441390.28,0.0,3.0,10.0,0.0,466.28574376612215,989.5808759124088
5001707375,Bradford town,2827,1029,2.0,40295.630000000005,35709.37,4586.26,0.0,1.0,1.0,0.0,14.25384860275911,39.15999028182702
5001707600,Braintree town,1026,511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5002107750,Brandon town,4120,1703,7.0,67671.88,67671.88,0.0,0.0,7.0,0.0,0.0,16.42521359223301,39.73686435701703
5002507900,Brattleboro town,12122,5503,26.0,1133352.35,1126890.7,0.0,6461.65,22.0,1.0,3.0,93.49549166804158,205.95172633109215
5002708275,Bridgewater town,980,459,15.0,1015620.82,818564.0499999999,197056.77,0.0,7.0,8.0,0.0,1036.347775510204,2212.681525054466
5000108575,Bridport town,1235,530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000908725,Brighton town,1167,554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000109025,Bristol town,3778,1861,1.0,8919.22,0.0,0.0,8919.22,0.0,0.0,1.0,2.3608311275807305,4.79270284793122
5001709325,Brookfield town,1486,636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5002509475,Brookline town,531,212,5.0,626917.59,347115.0,279802.58999999997,0.0,3.0,2.0,0.0,1180.6357627118643,2957.158443396226
5001909850,Brownington town,1144,410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000910075,Brunswick town,109,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000710300,Buels gore,19,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000510450,Burke town,1317,562,1.0,14975.49,0.0,14975.49,0.0,0.0,1.0,0.0,11.370911161731208,26.646779359430603
5000710675,Burlington city,44675,17504,9.0,67650.18,32344.41,35305.77,0.0,6.0,3.0,0.0,1.5142737548964744,3.864841179159049
5002311125,Cabot town,1579,571,6.0,155182.46000000002,0.0,155182.46000000002,0.0,0.0,6.0,0.0,98.27894870170995,271.77313485113837
5002311350,Calais town,1713,674,4.0,28378.089999999997,4728.48,23649.61,0.0,1.0,3.0,0.0,16.566310566258025,42.103991097922844
5001511500,Cambridge town,3767,1578,30.0,1697883.87,188741.43,1509142.4400000002,0.0,10.0,20.0,0.0,450.7257419697372,1075.9720342205324
5000911800,Canaan town,810,384,3.0,327699.45999999996,327699.45999999996,0.0,0.0,3.0,0.0,0.0,404.5672345679012,853.3840104166666
5002111950,Castleton town,4453,1663,7.0,33789.770000000004,28026.92,5762.85,0.0,5.0,2.0,0.0,7.58809117448911,20.31856283824414
5002712250,Cavendish town,1242,459,26.0,1951313.3399999999,178724.57,1772588.77,0.0,6.0,20.0,0.0,1571.1057487922703,4251.227320261438
5001913150,Charleston town,936,464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000713300,Charlotte town,3916,1807,2.0,130104.68999999999,123270.68,0.0,6834.01,1.0,0.0,1.0,33.22387385086823,72.00038184836745
5001713525,Chelsea town,1223,527,13.0,306156.0,114865.76000000001,170228.84999999998,21061.39,5.0,6.0,2.0,250.33197056418643,580.9411764705883
5002713675,Chester town,2992,1304,25.0,447506.99,57623.43,383947.39,5936.17,8.0,14.0,3.0,149.5678442513369,343.18020705521474
5002114350,Chittenden town,1318,509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5002114500,Clarendon town,2460,1028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000714875,Colchester town,17648,7092,6.0,154169.53,154169.53,0.0,0.0,6.0,0.0,0.0,8.73580745693563,21.738512408347432
5000915250,Concord town,1145,518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5001715700,Corinth town,1539,638,1.0,5082.22,0.0,5082.22,0.0,0.0,1.0,0.0,3.302287199480182,7.965862068965517
5000116000,Cornwall town,1208,492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5001916150,Coventry town,917,378,3.0,186824.67,57007.94,129816.73000000001,0.0,1.0,2.0,0.0,203.73464558342422,494.2451587301588
5001916300,Craftsbury town,1352,527,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5002116825,Danby town,1133,487,1.0,9007.68,9007.68,0.0,0.0,1.0,0.0,0.0,7.950291262135923,18.496262833675566
5000517125,Danville town,2360,1064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5001917350,Derby town,4537,2224,12.0,228064.86,228064.86,0.0,0.0,11.0,0.0,1.0,50.26776724707957,102.54714928057554
5000317725,Dorset town,2092,838,6.0,121479.65000000001,69743.21,51736.44,0.0,4.0,2.0,0.0,58.068666347992355,144.96378281622913
5002517875,Dover town,1466,697,5.0,135308.15000000002,135308.15000000002,0.0,0.0,5.0,0.0,0.0,92.29751023192362,194.12934002869443
5002518325,Dummerston town,2090,900,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5002318550,Duxbury town,1548,624,6.0,520373.8,254880.75999999998,265493.04000000004,0.0,1.0,5.0,0.0,336.1587855297158,833.9323717948718
5000921250,East Haven town,225,115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5002321925,East Montpelier town,2612,1150,4.0,414769.54000000004,43732.94,371036.6,0.0,1.0,3.0,0.0,158.7938514548239,360.6691652173913
5001523500,Eden town,1351,571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5001523725,Elmore town,964,400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5001124050,Enosburgh town,2804,1167,1.0,10364.2,10364.2,0.0,0.0,1.0,0.0,0.0,3.696219686162625,8.881062553556127
5000724400,Essex Junction city,10803,4761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000724175,Essex town,11516,4912,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5002125375,Fair Haven town,2724,1003,4.0,32192.0,27395.09,0.0,4796.91,2.0,1.0,1.0,11.81791483113069,32.095712861415755
5001124925,Fairfax town,5226,1845,1.0,66142.42,66142.42,0.0,0.0,1.0,0.0,0.0,12.65641408342901,35.84955013550135
5001125225,Fairfield town,1938,733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5001725675,Fairlee town,1066,507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5002325825,Fayston town,1342,547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000925975,Ferdinand town,68,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000126300,Ferrisburgh town,2661,1085,2.0,114983.18999999999,114983.18999999999,0.0,0.0,2.0,0.0,0.0,43.21051860202931,105.97529032258063
5001126500,Fletcher town,1196,484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5001127100,Franklin town,1590,617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5001127700,Georgia town,4890,1821,2.0,39583.78999999999,39583.78999999999,0.0,0.0,2.0,0.0,0.0,8.094844580777094,21.737391543108178
5000327962,Glastenbury town,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
5001928075,Glover town,1051,433,3.0,105607.56,0.0,105607.56,0.0,0.0,3.0,0.0,100.48293054234063,243.8973672055427
5000128600,Goshen town,142,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5002528900,Grafton town,666,316,10.0,206670.96,121977.83,84693.13,0.0,7.0,2.0,1.0,310.3167567567567,654.0220253164557
5000929125,Granby town,67,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5001329275,Grand Isle town,2192,925,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5000129575,Granville town,414,206,2.0,18882.37,18882.37,0.0,0.0,2.0,0.0,0.0,45.609589371980675,91.66199029126213
5001930175,Greensboro town,633,289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000530550,Groton town,967,429,10.0,124384.45000000001,21750.239999999998,102634.21,0.0,2.0,8.0,0.0,128.62921406411584,289.9404428904429
5000930775,Guildhall town,371,158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5002530925,Guilford town,2461,1091,3.0,33748.43,33748.43,0.0,0.0,3.0,0.0,0.0,13.713299471759447,30.933483043079743
5002531150,Halifax town,847,306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000131525,Hancock town,435,210,3.0,5588.22,1418.93,0.0,4169.29,2.0,0.0,1.0,12.84648275862069,26.61057142857143
5000531825,Hardwick town,2965,1333,33.0,1618440.57,23741.22,1591191.8,3507.55,8.0,24.0,1.0,545.8484215851602,1214.1339609902477
5002732275,Hartford town,10736,4685,10.0,1177258.99,984246.75,193012.24,0.0,7.0,3.0,0.0,109.65527105067063,251.28260192102454
5002732425,Hartland town,3460,1578,3.0,7371.280000000001,1931.85,5439.43,0.0,1.0,1.0,1.0,2.1304277456647402,4.67128010139417
5001133025,Highgate town,3528,1470,2.0,5101.06,5101.06,0.0,0.0,2.0,0.0,0.0,1.4458786848072565,3.470108843537415
5000733475,Hinesburg town,4718,2181,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
