GEOID,NAME,NAMELSAD,ALAND,AWATER,town_area_sqm,pct_river_corridor,pct_high_risk_NFHL
5001523500,Eden,Eden town,162970286,2552928,165523226.0,1.760723889947365,0.0
5002548400,Newfane,Newfane town,102981054,697246,103678298.0,4.744363151860622,1.7808011037386675
5002560250,Rockingham,Rockingham town,107252397,2011216,109263619.0,3.544192227180471,5.106042437045267
5002581400,Westminster,Westminster town,116613918,669527,117283434.0,1.8677589007716031,5.799133745646917
5002584850,Windham,Windham town,67581474,211573,67793053.0,1.3204505928724382,2.1574171933716335
5002509475,Brookline,Brookline town,33290178,287232,33577425.0,5.591928735067947,3.161157024082236
5002517875,Dover,Dover town,92639355,224249,92863594.0,2.0948424704338944,2.0052896372670532
5002528900,Grafton,Grafton town,98773085,259776,99032864.0,3.4720680990732244,3.7598376399222304
5002530925,Guilford,Guilford town,102422834,337542,102760394.0,3.37213109215105,2.666323327959315
5001707375,Bradford,Bradford town,76818598,578962,77397563.0,4.238715157666246,0.6773335667092412
5001715700,Corinth,Corinth town,124945252,284940,125230211.0,3.2305027606564582,0.0
5001725675,Fairlee,Fairlee town,51715954,2808176,54524131.0,0.8798947067249919,0.0
5001753425,Orange,Orange town,100199779,724441,100924205.0,2.1597742150433126,0.0
5001758075,Randolph,Randolph town,124240346,392023,124632353.0,5.392037279165794,2.7072699513142537e-05
5001770675,Strafford,Strafford town,114179722,470499,114650329.0,2.674264377975631,0.0
5002557700,Putney,Putney town,69044550,180757,69225302.0,2.687257460227331,5.58953375184036
5002574800,Vernon,Vernon town,50370905,1482157,51853095.0,0.8858212220651718,8.45583894783081
5001105425,Berkshire,Berkshire town,107977140,569265,108546393.0,4.735753699776037,0.0
5001124050,Enosburgh,Enosburgh town,123278559,1267409,124545968.0,5.760930518300083,2.917588293429717e-05
5001125225,Fairfield,Fairfield town,174333510,2794673,177128192.0,3.988427167261276,0.0
5001126500,Fletcher,Fletcher town,99319293,668308,99987652.0,1.761716554379996,0.0
5000153950,Panton,Panton town,40092401,16973162,57065577.0,4.333156429704255,0.0
5000159650,Ripton,Ripton town,127650280,421512,128071817.0,1.9371998493708038,0.0
5000165050,Shoreham,Shoreham town,111950012,7645403,119595421.0,3.0567665645164577,0.0
5000170075,Starksboro,Starksboro town,117485651,494698,117980457.0,2.621945450227508,1.462860494609167e-05
5000174650,Vergennes,Vergennes city,6359940,199983,6559919.0,14.034324150301586,0.0
5000530550,Groton,Groton town,139414527,3122663,142537206.0,2.5813074040437796,4.6382901919573956e-05
5000531825,Hardwick,Hardwick town,99107582,1023094,100130674.0,4.746810501868843,5.894628052509407
5002346000,Montpelier,Montpelier city,26048132,504947,26553075.0,8.929176920570116,7.313727669239201
5002350275,Northfield,Northfield town,115595908,334771,115930662.0,3.364858314110601,2.578644783153879
5002360625,Roxbury,Roxbury town,108000611,124101,108124651.0,1.7198331214267775,0.762601566745694
5002375325,Waitsfield,Waitsfield town,66688120,460997,67149135.0,5.02191999706832,4.5763918526643526
5002114350,Chittenden,Chittenden town,188383539,3174076,191557635.0,1.4195021503539214,2.3326284869895786
5000362875,Sandgate,Sandgate town,109417261,171503,109588759.0,1.8795037253654774,0.406339802639784
5001784175,Williamstown,Williamstown town,104014501,519077,104533593.0,1.0847552982130704,3.474019603135858e-05
5002135425,Ira,Ira town,57660947,17129,57678221.0,1.7500513424979294,1.9892245882906459
5002137685,Killington,Killington town,122587614,702976,123290608.0,1.9113585484160371,5.760880887721331e-06
5002144125,Mendon,Mendon town,98309765,92196,98402085.0,1.828772922668887,0.9977649528321987
5002147200,Mount Holly,Mount Holly town,127162736,1177334,128340107.0,2.5786098053786377,2.307323363775867
5001585375,Wolcott,Wolcott town,100873610,925897,101799523.0,4.763659584023816,5.64405972755223
5001504375,Belvidere,Belvidere town,92206005,138864,92344843.0,2.514798215761445,0.0
5001511500,Cambridge,Cambridge town,163019446,1342592,164362072.0,5.732905696693148,1.0206841212137098e-05
5000930775,Guildhall,Guildhall town,85391280,76269,85467544.0,1.8095288828600085,0.0
5000939775,Lewis,Lewis town,100713120,332299,101045289.0,3.8444442912985153,0.0
5000952750,Norton,Norton town,99428305,1047358,100475722.0,2.9182080431370587,0.0
5000975175,Victory,Victory town,111250313,328518,111578830.0,4.007701753055551,0.0
5000976562,Warren's,Warren's gore,24532187,2159972,26692188.0,0.9407144629029415,0.0
5000976337,Warner's,Warner's grant,8286161,0,8286163.0,0.41542801722691153,0.0
5001546675,Morristown,Morristown town,131520487,1343856,132864345.0,4.42686586030683,0.0004436488213117426
5000902125,Averill,Averill town,93269918,5318195,98588267.0,1.0192742024863453,0.0
5000902162,Avery's,Avery's gore,47207744,85001,47292818.0,0.49776012969012656,0.0
5001917350,Derby,Derby town,126867751,21660451,148528212.0,1.6437714846234395,0.0
5002376525,Warren,Warren town,103816841,129794,103946726.0,2.1657336473223934,0.5727007544010521
5002385525,Woodbury,Woodbury town,97701026,4098049,101799109.0,1.0845790434006748,1.0336353426286011
5002386125,Worcester,Worcester town,99860093,445145,100305275.0,2.7453449071039913,1.32030722772811
5002105200,Benson,Benson town,113651207,3971123,117622385.0,2.9873739869207543,7.851950737721879
5002144800,Middletown Springs,Middletown Springs town,58791398,24301,58815789.0,2.195648978761698,2.869039866545238
5002175925,Wallingford,Wallingford town,110092961,1160477,111253420.0,3.7785502588521203,3.971213860368164
5002114500,Clarendon,Clarendon town,81031836,557195,81589038.0,8.394424455875013,10.162975507376585
5002116825,Danby,Danby town,107599268,328278,107927569.0,2.2461430847753103,1.929438823655551
5002134450,Hubbardton,Hubbardton town,70505640,3531337,74036964.0,1.5587067159744241,6.923304973972563
5001936325,Jay,Jay town,87840666,125582,87966274.0,1.7493495443515539,0.8525797550007628
5002303250,Barre,Barre town,79183874,393130,79577002.0,1.7063308365711665,0.7079468799260844
5002346225,Moretown,Moretown town,102857700,925865,103783570.0,4.526167073739779,4.091842327429617
5002355825,Plainfield,Plainfield town,54396776,215996,54612750.0,3.223072374777262,3.9466955932765524
5002311350,Calais,Calais town,98239517,1615483,99855026.0,3.0823161086601116,7.032466871344269
5001916300,Craftsbury,Craftsbury town,101009278,1443997,102453262.0,4.855916021013278,3.240590122066513e-06
5001930175,Greensboro,Greensboro town,97906517,4533331,102439860.0,2.2089594446321623,0.006316802566140873
5001933775,Holland,Holland town,98241076,1906159,100147256.0,1.6089315432778473,0.0
5001776750,Washington,Washington town,100961054,144403,101105459.0,1.6889287218685427,0.0
5000128600,Goshen,Goshen town,53303535,419568,53723104.0,1.3466751156644106,0.0
5000109025,Bristol,Bristol town,105018080,1711027,106729120.0,2.9245375060532544,0.0
5000569925,Stannard,Stannard town,32742771,224817,32967598.0,1.8415224189449475,0.0
5002701300,Andover,Andover town,74720639,149987,74870626.0,1.9202179373515242,0.6676932450783327
5002702575,Baltimore,Baltimore town,12314212,23776,12337991.0,0.0,0.0
5002732275,Hartford,Hartford town,116836777,2282174,119118957.0,5.397860578916838,4.390703036577129
5001145850,Montgomery,Montgomery town,145942558,201709,146144359.0,3.463631761148268,1.5561822880024043
5001161675,St. Albans,St. Albans city,5064442,4268,5068716.0,4.214242610242424,0.0
5001164600,Sheldon,Sheldon town,100080748,1809124,101889875.0,8.631077307532733,0.0
5001124925,Fairfax,Fairfax town,102923826,1498531,104422321.0,7.937472476960712,2.454099274254061e-05
5001161750,St. Albans,St. Albans town,96174593,61378223,157552932.0,1.459133688564296,1.0189241827174933e-08
5001707600,Braintree,Braintree town,99570804,275788,99846596.0,3.2796096349708406,0.0
5001709325,Brookfield,Brookfield town,105876670,921312,106797936.0,2.375126446502851,0.0
5000759275,Richmond,Richmond town,83853400,1337424,85190786.0,6.959644221791283,10.031759968235953
5000773975,Underhill,Underhill town,132646841,189148,132836173.0,1.9157620649406297,2.332189652788808
5000780350,Westford,Westford town,100806171,542380,101348528.0,3.417623129501442,2.0257676735369627
5000785150,Winooski,Winooski city,3576484,236698,3813185.0,20.139475350473894,19.087063391542703
5000710300,Buels,Buels gore,12944561,10633,12955198.0,0.0030213344789984642,0.0
5000724175,Essex,Essex town,88941934,817671,89759588.0,5.637134804157251,11.796984882729925
5000369775,Stamford,Stamford town,102255394,300070,102555460.0,1.4494385602162185,1.8420056674553944
5000371425,Sunderland,Sunderland town,117158656,821993,117980643.0,2.8731164491246224,1.9940376758882958
5000385075,Winhall,Winhall town,114093319,1229559,115322892.0,3.0562024939798467,1.6510763777127277
5000385675,Woodford,Woodford town,122653079,436450,123089578.0,2.666035363496465,0.595290973762146
5000162575,Salisbury,Salisbury town,74957495,2997465,77954961.0,5.054909647879128,0.0
5000925975,Ferdinand,Ferdinand town,136906462,588881,137495378.0,3.5024861107742824,0.0
5001127700,Georgia,Georgia town,101909601,15306109,117215737.0,2.9133953361656837,0.000844454743271842
5002311125,Cabot,Cabot town,96181962,3313053,99495007.0,2.1395523892619726,6.622463125648717
5002702725,Barnard,Barnard town,124407498,613368,125020865.0,1.8100526199051292,1.6993125643712021
5001713525,Chelsea,Chelsea town,103731778,123968,103855789.0,3.082226321388867,0.0
5001748175,Newbury,Newbury town,165887261,1348624,167235867.0,2.449413697765808,7.128144249482121
5000714875,Colchester,Colchester town,94040216,62094186,156134493.0,5.204381071180843,46.71268688469955
5000762050,St. George,St. George town,9505930,8797,9514722.0,0.0,1.704541856670945
5002576225,Wardsboro,Wardsboro town,75685009,84589,75769581.0,1.8369286535409823,0.8495698455084015
5001102500,Bakersfield,Bakersfield town,108990794,256695,109247504.0,2.598216933304659,0.0
5002705800,Bethel,Bethel town,117835272,685956,118521220.0,5.372114209509812,2.8420201760660744
5002708275,Bridgewater,Bridgewater town,128160488,352346,128512914.0,2.908058457478398,1.693369441605879
5002712250,Cavendish,Cavendish town,102045907,572284,102618201.0,3.5327859320045154,2.9676225523535047
5002713675,Chester,Chester town,144290216,670390,144960621.0,4.869170006818224,3.9447051129908934
5002376975,Waterbury,Waterbury town,124716296,4012575,128728927.0,3.6680789531706726,2.847257108900299
5001133025,Highgate,Highgate town,132156859,23396219,155553024.0,6.92622189079015,0.0
5000733475,Hinesburg,Hinesburg town,101781959,1003618,102785561.0,2.9702961235734957,5.8858888986951685
5000734600,Huntington,Huntington town,99009762,253634,99263411.0,3.3691215157717815,2.0728691375092656
5000736700,Jericho,Jericho town,91829001,410210,92239270.0,4.908275562194598,5.907788397269248
5001981700,Westmore,Westmore town,89218126,8105123,97323260.0,0.3033623987555391,0.0
5001980200,Westfield,Westfield town,103368989,273484,103642470.0,3.470843395811809,0.0
5002507900,Brattleboro,Brattleboro town,83023840,1515022,84538868.0,4.02485155074193,4.699529512046192
5002518325,Dummerston,Dummerston town,79502082,622704,80124784.0,3.260615123558762,2.523616249963657
5002540225,Londonderry,Londonderry town,91862174,1302830,93164981.0,5.3157246218449306,6.627729432132626
5002732425,Hartland,Hartland town,117145794,812800,117958606.0,3.168780143021028,5.283324364090169
5002741275,Ludlow,Ludlow town,90002328,1366176,91368482.0,2.9175733138456192,3.237263049189982
5002756050,Plymouth,Plymouth town,124771309,1452036,126223344.0,2.3673029921854183,2.0218486458598006
5002756350,Pomfret,Pomfret town,102240237,200425,102440658.0,2.18356099772795,2.44395574152835
5002758375,Reading,Reading town,106434499,484148,106918627.0,1.8031465142660574,0.9792898323954021
5002760850,Royalton,Royalton town,104569046,1489675,106058692.0,6.108016784531991,4.11927509052929
5002763775,Sharon,Sharon town,103103248,1298458,104401738.0,4.096316968532488,2.7122267737595234
5001535050,Hyde Park,Hyde Park town,97566216,3498053,101064264.0,2.947073930532214,1.1314388316767945e-05
5001903550,Barton,Barton town,110681861,4208427,114890280.0,3.910505441191707,0.0
5001928075,Glover,Glover town,97274449,2522919,99797379.0,1.524289205645256,0.0
5001900475,Albany,Albany town,99830311,1135549,100965867.0,3.6863522451888127,0.0
5001127100,Franklin,Franklin town,99934777,5903159,105837962.0,1.7497505494335173,0.0
5000706550,Bolton,Bolton town,108170250,715843,108886029.0,3.2857523914526587,2.2978753969318184
5001935575,Irasburg,Irasburg town,104302250,693339,104995564.0,4.229147325764779,0.0
5001940525,Lowell,Lowell town,146401788,207612,146609447.0,2.105565648402327,0.0
5001946450,Morgan,Morgan town,80822257,7556815,88379076.0,1.409018689670974,0.0
5001948850,Newport,Newport city,15171891,4574099,19745988.0,3.618880267459072,0.0
5001948925,Newport,Newport town,107555206,5165883,112721085.0,1.8591669932286816,0.0
5001973525,Troy,Troy town,93570429,824330,94394770.0,5.432470056564812,5.708078403427619e-06
5000713300,Charlotte,Charlotte town,106841362,23596627,130437998.0,2.4610479858434373,18.611754519454088
5001909850,Brownington,Brownington town,72730869,722634,73453512.0,3.658442417130851,0.0
5001913150,Charleston,Charleston town,96102891,3703014,99805906.0,3.883551989555861,0.0
5001916150,Coventry,Coventry town,69987151,2043087,72030244.0,7.936158653036056,0.0
5000301450,Arlington,Arlington town,108847993,491791,109339770.0,4.52166845115246,4.365822389075694
5000363175,Searsburg,Searsburg town,55124443,327248,55451691.0,4.07120619736692,1.232422829076424
5002770375,Stockbridge,Stockbridge town,118581821,708170,119290078.0,4.380536078710622,2.754096527184386
5002777500,Weathersfield,Weathersfield town,112687150,1452148,114139288.0,3.3984923859686287,8.356866129588118
5000724400,Essex Junction,Essex Junction city,11833863,499088,12332953.0,14.218976801605955,13.889043715925563
5000561525,Ryegate,Ryegate town,94703075,758583,95461674.0,2.141355821779364,0.0010004261098195619
5000577125,Waterford,Waterford town,99155685,3639175,102794858.0,1.6018790150828373,0.0
5000517125,Danville,Danville town,156995401,1064232,158059572.0,2.731115095014868,4.7399842742238026e-05
5000502875,Barnet,Barnet town,109623233,3396861,113020059.0,4.526264023769591,0.0
5002155450,Pittsfield,Pittsfield town,53038633,170346,53209000.0,4.064307662216839,2.6404633192702076
5002156875,Poultney,Poultney town,110223965,2739845,112963902.0,3.177514040474004,5.431309646712661
5002161225,Rutland,Rutland city,19562139,302417,19864553.0,10.405589108289195,10.942258484128036
5002165275,Shrewsbury,Shrewsbury town,129660710,537225,130197779.0,2.3986366346973034,3.070624541214499
5000108575,Bridport,Bridport town,113158876,6686784,119845671.0,3.3678712297905076,0.0
5000126300,Ferrisburgh,Ferrisburgh town,122981519,35540139,158521671.0,6.244593384090937,6.555679479872841e-05
5000153725,Orwell,Orwell town,122300017,6477287,128777307.0,3.099763930462214,3.361060180925039e-05
5000139325,Leicester,Leicester town,53966710,2413324,56380041.0,8.030350572317486,0.015552470620741908
5000148700,New Haven,New Haven town,106590693,907385,107498069.0,4.838562153332261,0.0
5002783050,West Windsor,West Windsor town,64025413,236018,64261426.0,2.7022149629168135,2.3883211111153546
5002784925,Windsor,Windsor town,50267366,720121,50987490.0,2.6883947272903232,7.770568638992856
5002785975,Woodstock,Woodstock town,114095175,734946,114830093.0,4.958264425556256,3.4886418932217174
