agricultureStructureIndicator,asOfDate,basementEnclosureCrawlspaceType,policyCount,crsClassificationCode,dateOfLoss,elevatedBuildingIndicator,elevationCertificateIndicator,elevationDifference,baseFloodElevation,ratedFloodZone,houseWorship,locationOfContents,lowestAdjacentGrade,lowestFloorElevation,numberOfFloorsInTheInsuredBuilding,nonProfitIndicator,obstructionType,occupancyType,originalConstructionDate,originalNBDate,amountPaidOnBuildingClaim,amountPaidOnContentsClaim,amountPaidOnIncreasedCostOfComplianceClaim,postFIRMConstructionIndicator,rateMethod,smallBusinessIndicatorBuilding,totalBuildingInsuranceCoverage,totalContentsInsuranceCoverage,yearOfLoss,primaryResidenceIndicator,buildingDamageAmount,buildingDeductibleCode,netBuildingPaymentAmount,buildingPropertyValue,causeOfDamage,condominiumCoverageTypeCode,contentsDamageAmount,contentsDeductibleCode,netContentsPaymentAmount,contentsPropertyValue,disasterAssistanceCoverageRequired,eventDesignationNumber,ficoNumber,floodCharacteristicsIndicator,floodWaterDuration,floodproofedIndicator,floodEvent,iccCoverage,netIccPaymentAmount,nfipRatedCommunityNumber,nfipCommunityNumberCurrent,nfipCommunityName,nonPaymentReasonContents,nonPaymentReasonBuilding,numberOfUnits,buildingReplacementCost,contentsReplacementCost,replacementCostBasis,stateOwnedIndicator,waterDepth,floodZoneCurrent,buildingDescriptionCode,rentalPropertyIndicator,state,reportedCity,reportedZipCode,countyCode,censusTract,censusBlockGroupFips,latitude,longitude,id
0,2026-02-11T00:00:00.000Z,2.0,1,,2000-12-17T00:00:00.000Z,0,1,,,A10,0,,,,3.0,0,,3.0,1900-01-01T00:00:00.000Z,1991-12-17T00:00:00.000Z,,,,0,1,0,230200.0,0.0,2000,0,,3,0.0,,2,N,,0,0.0,,0.0,,,1.0,12.0,0,,30000.0,0.0,505518.0,,,,97.0,1.0,,,A,0,2.0,,,0,VT,Currently Unavailable,5602.0,50023.0,50023954600.0,500239546002.0,44.3,-72.6,c97f77cf-d367-47bf-be38-1cee821b5629
0,2026-02-11T00:00:00.000Z,2.0,1,,2011-05-26T00:00:00.000Z,0,,,,A10,0,,,,3.0,0,,6.0,1940-01-01T00:00:00.000Z,2009-07-01T00:00:00.000Z,,,,0,1,0,402500.0,0.0,2011,0,,E,0.0,,0,N,,,0.0,,0.0,,,,0.0,0,,30000.0,0.0,505518.0,,,,99.0,1.0,,,A,0,1.0,,1.0,0,VT,Currently Unavailable,5602.0,50023.0,50023954800.0,500239548001.0,44.3,-72.6,085f146c-74c3-47e4-8b4c-60838f1faf0f
0,2026-02-11T00:00:00.000Z,1.0,1,,1992-03-11T00:00:00.000Z,0,,,,A10,0,2.0,,,3.0,0,,4.0,1950-07-01T00:00:00.000Z,1985-11-09T00:00:00.000Z,34280.28,0.0,0.0,0,1,0,110000.0,0.0,1992,0,39281.0,2,34280.28,200000.0,2,N,,0,0.0,,0.0,,940.0,,0.0,0,Flooding,30000.0,0.0,505518.0,,,97.0,,1.0,0.0,,A,0,1.0,,1.0,0,VT,Currently Unavailable,5602.0,50023.0,50023954600.0,500239546002.0,44.3,-72.6,a48611f1-1e92-4e38-972c-ec42a556a8e1
0,2026-02-11T00:00:00.000Z,,1,,1981-02-19T00:00:00.000Z,0,,,,,0,,,,1.0,0,10.0,4.0,1492-10-12T00:00:00.000Z,1980-03-13T00:00:00.000Z,360.82,0.0,0.0,0,1,0,30000.0,0.0,1981,0,561.0,,360.82,205000.0,1,N,,,0.0,,0.0,,,,0.0,0,,,0.0,500057.0,,,,,1.0,0.0,,A,0,1.0,,,0,VT,Currently Unavailable,5476.0,50011.0,50011010300.0,500110103001.0,45.0,-72.7,65627989-987c-4916-bf1d-acc450ddd8e6
0,2026-02-11T00:00:00.000Z,,1,,2011-08-28T00:00:00.000Z,1,,,,AE,0,,,,1.0,0,10.0,4.0,1970-01-01T00:00:00.000Z,2009-09-06T00:00:00.000Z,8589.33,0.0,0.0,0,1,0,43000.0,0.0,2011,0,9589.0,1,8589.33,43918.0,2,N,,,0.0,,0.0,,287.0,,0.0,0,Hurricane Irene,30000.0,0.0,500005.0,,,,,1.0,60162.0,,A,0,1.0,,1.0,0,VT,Currently Unavailable,5748.0,50001.0,50001960600.0,500019606003.0,43.9,-72.9,d3eb3b79-d6de-473c-9939-535228b538d1
0,2026-02-11T00:00:00.000Z,2.0,1,9.0,2011-08-28T00:00:00.000Z,0,,,,AE,0,,,,3.0,0,,6.0,1900-01-01T00:00:00.000Z,2007-04-15T00:00:00.000Z,,,,0,1,1,260600.0,0.0,2011,0,4849.0,B,0.0,37202.0,2,N,,,0.0,,0.0,,287.0,,0.0,0,Hurricane Irene,30000.0,0.0,505518.0,505518.0,"MONTPELIER, CITY OF",,1.0,1.0,372026.0,,A,0,1.0,AE,1.0,0,VT,Currently Unavailable,5602.0,50023.0,50023954600.0,500239546002.0,44.3,-72.6,c5a196ef-802d-436a-a9ed-f0cd68f59dc5
0,2026-02-11T00:00:00.000Z,2.0,1,,1992-03-11T00:00:00.000Z,0,1,,,A10,0,,,,3.0,0,,3.0,1900-01-01T00:00:00.000Z,1991-12-17T00:00:00.000Z,8400.0,0.0,0.0,0,1,0,230200.0,0.0,1992,0,9400.0,3,8400.0,198500.0,2,N,,0,0.0,,0.0,,940.0,,0.0,0,Flooding,30000.0,0.0,505518.0,,,,,1.0,0.0,,A,0,3.0,,,0,VT,Currently Unavailable,5602.0,50023.0,50023954600.0,500239546002.0,44.3,-72.6,d365d60c-a78d-40cc-8d60-04bad856ce4b
0,2026-02-11T00:00:00.000Z,,1,,2023-07-09T00:00:00.000Z,0,,,,AE,0,,,,3.0,0,,18.0,1945-01-01T00:00:00.000Z,2020-12-17T00:00:00.000Z,0.0,0.0,0.0,0,RatingEngine,0,358000.0,0.0,2023,0,0.0,D,0.0,0.0,0,N,,,0.0,,,,,,,0,Vermont/New York Flooding,30000.0,0.0,500123.0,500123.0,"WATERBURY, TOWN OF",,6.0,1.0,0.0,,A,0,,AE,8.0,0,VT,Currently Unavailable,5676.0,50023.0,50023954300.0,500239543004.0,44.3,-72.8,3a5ad4ac-0334-433f-a391-1dd14f297b03
0,2026-02-11T00:00:00.000Z,,1,,2003-03-19T00:00:00.000Z,0,,,,X,0,,,,2.0,0,10.0,1.0,1969-01-02T00:00:00.000Z,1999-12-17T00:00:00.000Z,14829.56,300.0,0.0,0,7,0,250000.0,100000.0,2003,1,15329.0,0,14829.56,1108800000.0,4,N,800.0,0,300.0,0.0,0.0,,,,0.0,0,,30000.0,0.0,500226.0,,,,,1.0,1260000000.0,0.0,A,0,0.0,,,0,VT,Currently Unavailable,5486.0,50013.0,50013020200.0,500130202004.0,44.7,-73.3,bd1372fb-bce0-4665-bc41-2d81d3e2590b
0,2026-02-11T00:00:00.000Z,,1,,1993-04-25T00:00:00.000Z,0,,,,C,0,3.0,,,1.0,0,10.0,1.0,1940-07-01T00:00:00.000Z,1993-03-29T00:00:00.000Z,10882.7,0.0,0.0,0,1,0,56000.0,15000.0,1993,0,11383.0,0,10882.7,56200.0,2,N,,0,0.0,,0.0,,,,0.0,0,,,0.0,500033.0,,,97.0,,1.0,0.0,,A,0,2.0,,,0,VT,Currently Unavailable,5446.0,50007.0,50007002302.0,500070023021.0,44.5,-73.3,aeb62ffe-bc20-4f58-9f10-16f5e13000aa
