"CID","Community Name","County","Init FHBM Identified","Init FIRM Identified","Curr Eff Map Date","Tribal","Reg-Emer Date","CRS Entry Date","Curr Eff Date","Curr Class","% Disc","Program","Participating Community"
"500163#","ADDISON, TOWN OF","ADDISON COUNTY","11/22/74",="09/18/86",="09/18/86","No",="09/18/86",,,,,"Regular","YES"
"500221#","ALBURGH, TOWN OF","GRAND ISLE COUNTY","11/08/74",="03/16/81",="03/16/81(M)","No",="03/16/81",,,,,"Regular","YES"
,"Village of Alburgh (CID 500222) has merged with the Town of Alburgh.",,,,,"No",,,,,,,"YES"
"500291#","ANDOVER, TOWN OF","WINDSOR COUNTY","12/20/74",="08/05/85",="09/28/07(M)","No",="08/05/85",,,,,"Regular","YES"
"500012A","ARLINGTON, TOWN OF","BENNINGTON COUNTY",="08/02/74",="07/17/86","12/02/15","No",="07/17/86",,,,,"Regular","YES"
"500306","AVERILL, TOWN OF","ESSEX COUNTY",,," ","No",="08/05/14(E)",,,,,"Emergency","YES"
"500100","AVERYS GORE, TOWN OF","ESSEX COUNTY",,," ","No",="08/05/14(E)",,,,,"Emergency","YES"
"500216","BAKERSFIELD, TOWN OF","FRANKLIN COUNTY",="02/07/75",="09/27/85",="09/27/85(M)","No",="09/27/85",,,,,"Regular","YES"
"500298#","BALTIMORE, TOWN OF","WINDSOR COUNTY",,="09/28/07","(NSFHA)","No",="02/29/12",,,,,"Regular","YES"
"500292#","BARNARD, TOWN OF","WINDSOR COUNTY",="09/06/74",="09/18/85",="09/28/07(M)","No",="09/18/85",,,,,"Regular","YES"
"500024#","BARNET, TOWN OF","CALEDONIA COUNTY",="02/22/74",="05/17/88",="05/17/88","No",="05/17/88",,,,,"Regular","YES"
"500105#","BARRE, CITY OF","WASHINGTON COUNTY",="07/26/74",="01/17/85",="03/19/13","No",="01/17/85",,,,,"Regular","YES"
"500273#","BARRE, TOWN OF","WASHINGTON COUNTY",="08/30/74",="06/15/78",="03/19/13","No",="06/15/78",,,,,"Regular","YES"
