"GEO_ID","NAME","B18101_001E","B18101_001M","B18101_002E","B18101_002M","B18101_003E","B18101_003M","B18101_004E","B18101_004M","B18101_005E","B18101_005M","B18101_006E","B18101_006M","B18101_007E","B18101_007M","B18101_008E","B18101_008M","B18101_009E","B18101_009M","B18101_010E","B18101_010M","B18101_011E","B18101_011M","B18101_012E","B18101_012M","B18101_013E","B18101_013M","B18101_014E","B18101_014M","B18101_015E","B18101_015M","B18101_016E","B18101_016M","B18101_017E","B18101_017M","B18101_018E","B18101_018M","B18101_019E","B18101_019M","B18101_020E","B18101_020M","B18101_021E","B18101_021M","B18101_022E","B18101_022M","B18101_023E","B18101_023M","B18101_024E","B18101_024M","B18101_025E","B18101_025M","B18101_026E","B18101_026M","B18101_027E","B18101_027M","B18101_028E","B18101_028M","B18101_029E","B18101_029M","B18101_030E","B18101_030M","B18101_031E","B18101_031M","B18101_032E","B18101_032M","B18101_033E","B18101_033M","B18101_034E","B18101_034M","B18101_035E","B18101_035M","B18101_036E","B18101_036M","B18101_037E","B18101_037M","B18101_038E","B18101_038M","B18101_039E","B18101_039M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 5 years:","Margin of Error!!Total:!!Male:!!Under 5 years:","Estimate!!Total:!!Male:!!Under 5 years:!!With a disability","Margin of Error!!Total:!!Male:!!Under 5 years:!!With a disability","Estimate!!Total:!!Male:!!Under 5 years:!!No disability","Margin of Error!!Total:!!Male:!!Under 5 years:!!No disability","Estimate!!Total:!!Male:!!5 to 17 years:","Margin of Error!!Total:!!Male:!!5 to 17 years:","Estimate!!Total:!!Male:!!5 to 17 years:!!With a disability","Margin of Error!!Total:!!Male:!!5 to 17 years:!!With a disability","Estimate!!Total:!!Male:!!5 to 17 years:!!No disability","Margin of Error!!Total:!!Male:!!5 to 17 years:!!No disability","Estimate!!Total:!!Male:!!18 to 34 years:","Margin of Error!!Total:!!Male:!!18 to 34 years:","Estimate!!Total:!!Male:!!18 to 34 years:!!With a disability","Margin of Error!!Total:!!Male:!!18 to 34 years:!!With a disability","Estimate!!Total:!!Male:!!18 to 34 years:!!No disability","Margin of Error!!Total:!!Male:!!18 to 34 years:!!No disability","Estimate!!Total:!!Male:!!35 to 64 years:","Margin of Error!!Total:!!Male:!!35 to 64 years:","Estimate!!Total:!!Male:!!35 to 64 years:!!With a disability","Margin of Error!!Total:!!Male:!!35 to 64 years:!!With a disability","Estimate!!Total:!!Male:!!35 to 64 years:!!No disability","Margin of Error!!Total:!!Male:!!35 to 64 years:!!No disability","Estimate!!Total:!!Male:!!65 to 74 years:","Margin of Error!!Total:!!Male:!!65 to 74 years:","Estimate!!Total:!!Male:!!65 to 74 years:!!With a disability","Margin of Error!!Total:!!Male:!!65 to 74 years:!!With a disability","Estimate!!Total:!!Male:!!65 to 74 years:!!No disability","Margin of Error!!Total:!!Male:!!65 to 74 years:!!No disability","Estimate!!Total:!!Male:!!75 years and over:","Margin of Error!!Total:!!Male:!!75 years and over:","Estimate!!Total:!!Male:!!75 years and over:!!With a disability","Margin of Error!!Total:!!Male:!!75 years and over:!!With a disability","Estimate!!Total:!!Male:!!75 years and over:!!No disability","Margin of Error!!Total:!!Male:!!75 years and over:!!No disability","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 5 years:","Margin of Error!!Total:!!Female:!!Under 5 years:","Estimate!!Total:!!Female:!!Under 5 years:!!With a disability","Margin of Error!!Total:!!Female:!!Under 5 years:!!With a disability","Estimate!!Total:!!Female:!!Under 5 years:!!No disability","Margin of Error!!Total:!!Female:!!Under 5 years:!!No disability","Estimate!!Total:!!Female:!!5 to 17 years:","Margin of Error!!Total:!!Female:!!5 to 17 years:","Estimate!!Total:!!Female:!!5 to 17 years:!!With a disability","Margin of Error!!Total:!!Female:!!5 to 17 years:!!With a disability","Estimate!!Total:!!Female:!!5 to 17 years:!!No disability","Margin of Error!!Total:!!Female:!!5 to 17 years:!!No disability","Estimate!!Total:!!Female:!!18 to 34 years:","Margin of Error!!Total:!!Female:!!18 to 34 years:","Estimate!!Total:!!Female:!!18 to 34 years:!!With a disability","Margin of Error!!Total:!!Female:!!18 to 34 years:!!With a disability","Estimate!!Total:!!Female:!!18 to 34 years:!!No disability","Margin of Error!!Total:!!Female:!!18 to 34 years:!!No disability","Estimate!!Total:!!Female:!!35 to 64 years:","Margin of Error!!Total:!!Female:!!35 to 64 years:","Estimate!!Total:!!Female:!!35 to 64 years:!!With a disability","Margin of Error!!Total:!!Female:!!35 to 64 years:!!With a disability","Estimate!!Total:!!Female:!!35 to 64 years:!!No disability","Margin of Error!!Total:!!Female:!!35 to 64 years:!!No disability","Estimate!!Total:!!Female:!!65 to 74 years:","Margin of Error!!Total:!!Female:!!65 to 74 years:","Estimate!!Total:!!Female:!!65 to 74 years:!!With a disability","Margin of Error!!Total:!!Female:!!65 to 74 years:!!With a disability","Estimate!!Total:!!Female:!!65 to 74 years:!!No disability","Margin of Error!!Total:!!Female:!!65 to 74 years:!!No disability","Estimate!!Total:!!Female:!!75 years and over:","Margin of Error!!Total:!!Female:!!75 years and over:","Estimate!!Total:!!Female:!!75 years and over:!!With a disability","Margin of Error!!Total:!!Female:!!75 years and over:!!With a disability","Estimate!!Total:!!Female:!!75 years and over:!!No disability","Margin of Error!!Total:!!Female:!!75 years and over:!!No disability",
"0600000US5000100325","Addison town, Addison County, Vermont","1175","185","565","83","42","24","0","10","42","24","19","10","0","10","19","10","105","44","9","7","96","43","233","55","43","20","190","56","116","38","22","15","94","34","50","15","17","11","33","12","610","123","31","24","0","10","31","24","127","61","0","10","127","61","81","40","6","11","75","40","218","41","11","7","207","40","98","32","11","10","87","31","55","22","11","8","44","21",
"0600000US5000108575","Bridport town, Addison County, Vermont","1235","204","650","127","31","23","0","10","31","23","77","57","0","10","77","57","137","48","9","9","128","46","262","73","46","38","216","54","67","26","3","5","64","26","76","31","42","27","34","14","585","100","9","8","0","10","9","8","88","41","0","10","88","41","133","63","4","5","129","62","198","44","7","7","191","42","81","40","6","6","75","40","76","30","48","27","28","13",
"0600000US5000109025","Bristol town, Addison County, Vermont","3758","28","1879","173","45","35","0","10","45","35","232","96","42","46","190","91","341","86","21","31","320","89","831","175","197","139","634","141","324","120","61","35","263","118","106","49","46","38","60","36","1879","177","70","70","0","10","70","70","135","62","12","20","123","60","374","159","0","10","374","159","921","161","186","175","735","127","201","68","65","43","136","62","178","76","73","58","105","51",
"0600000US5000116000","Cornwall town, Addison County, Vermont","1208","207","648","145","23","15","0","10","23","15","113","39","15","17","98","40","82","49","0","10","82","49","275","79","7","7","268","79","106","31","11","10","95","29","49","15","12","10","37","14","560","96","10","8","0","10","10","8","80","31","0","10","80","31","56","32","5","7","51","31","259","58","23","24","236","52","115","36","31","23","84","24","40","15","15","9","25","11",
"0600000US5000126300","Ferrisburgh town, Addison County, Vermont","2661","17","1488","100","94","48","35","44","59","33","200","61","26","23","174","63","309","107","33","45","276","110","595","82","52","32","543","84","163","58","36","33","127","50","127","38","47","29","80","30","1173","96","23","26","16","25","7","10","140","53","0","10","140","53","145","61","41","45","104","50","535","76","64","45","471","87","216","53","42","30","174","48","114","44","41","32","73","29",
"0600000US5000128600","Goshen town, Addison County, Vermont","142","41","72","24","0","10","0","10","0","10","12","10","0","10","12","10","6","8","1","2","5","7","28","15","8","10","20","13","14","7","5","4","9","5","12","8","1","2","11","8","70","22","1","3","0","10","1","3","2","4","0","10","2","4","10","11","0","10","10","11","30","14","2","3","28","13","11","7","2","3","9","7","16","12","6","7","10","9",
"0600000US5000129575","Granville town, Addison County, Vermont","414","102","217","61","14","11","0","10","14","11","21","13","0","10","21","13","15","8","1","3","14","8","131","51","10","9","121","50","21","9","5","7","16","7","15","13","0","10","15","13","197","55","15","11","0","10","15","11","29","19","0","10","29","19","18","11","0","10","18","11","95","33","4","3","91","33","27","13","0","10","27","13","13","12","2","3","11","10",
"0600000US5000131525","Hancock town, Addison County, Vermont","426","111","278","97","20","23","0","10","20","23","30","22","1","2","29","22","124","83","7","12","117","81","64","22","7","7","57","19","15","10","5","5","10","8","25","14","18","13","7","7","148","30","5","4","0","10","5","4","20","11","0","10","20","11","22","18","0","10","22","18","61","20","4","6","57","20","29","14","10","10","19","10","11","8","4","5","7","6",
"0600000US5000139325","Leicester town, Addison County, Vermont","1026","152","449","75","2","3","0","10","2","3","50","39","0","10","50","39","47","31","19","20","28","25","227","55","27","19","200","51","69","32","24","19","45","28","54","30","6","6","48","30","577","107","21","27","0","10","21","27","80","50","29","25","51","35","56","33","6","8","50","31","292","62","5","8","287","61","39","23","3","5","36","23","89","58","7","6","82","58",
"0600000US5000140075","Lincoln town, Addison County, Vermont","1391","155","757","104","56","34","0","10","56","34","85","33","4","9","81","31","153","40","4","6","149","40","307","60","31","13","276","61","96","31","20","20","76","23","60","28","43","26","17","9","634","76","26","18","0","10","26","18","44","21","0","10","44","21","135","48","29","29","106","45","277","45","22","17","255","50","99","30","4","5","95","29","53","16","15","12","38","15",
"0600000US5000144350","Middlebury town, Addison County, Vermont","9009","28","4292","219","102","53","0","15","102","53","433","119","59","57","374","110","1691","190","118","64","1573","183","1208","136","236","80","972","142","455","114","164","82","291","113","403","90","224","84","179","57","4717","220","190","56","9","15","181","53","341","73","0","15","341","73","2075","196","225","124","1850","175","1205","130","342","129","863","131","461","88","50","36","411","85","445","84","205","77","240","72",
