"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No schooling completed","Margin of Error!!Total:!!No schooling completed","Estimate!!Total:!!Nursery school","Margin of Error!!Total:!!Nursery school","Estimate!!Total:!!Kindergarten","Margin of Error!!Total:!!Kindergarten","Estimate!!Total:!!1st grade","Margin of Error!!Total:!!1st grade","Estimate!!Total:!!2nd grade","Margin of Error!!Total:!!2nd grade","Estimate!!Total:!!3rd grade","Margin of Error!!Total:!!3rd grade","Estimate!!Total:!!4th grade","Margin of Error!!Total:!!4th grade","Estimate!!Total:!!5th grade","Margin of Error!!Total:!!5th grade","Estimate!!Total:!!6th grade","Margin of Error!!Total:!!6th grade","Estimate!!Total:!!7th grade","Margin of Error!!Total:!!7th grade","Estimate!!Total:!!8th grade","Margin of Error!!Total:!!8th grade","Estimate!!Total:!!9th grade","Margin of Error!!Total:!!9th grade","Estimate!!Total:!!10th grade","Margin of Error!!Total:!!10th grade","Estimate!!Total:!!11th grade","Margin of Error!!Total:!!11th grade","Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma","Estimate!!Total:!!Regular high school diploma","Margin of Error!!Total:!!Regular high school diploma","Estimate!!Total:!!GED or alternative credential","Margin of Error!!Total:!!GED or alternative credential","Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Associate's degree","Margin of Error!!Total:!!Associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Master's degree","Margin of Error!!Total:!!Master's degree","Estimate!!Total:!!Professional school degree","Margin of Error!!Total:!!Professional school degree","Estimate!!Total:!!Doctorate degree","Margin of Error!!Total:!!Doctorate degree",
"0600000US5000100325","Addison town, Addison County, Vermont","893","116","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","3","4","0","10","15","15","0","10","0","10","294","81","10","7","32","20","64","27","116","41","219","45","104","36","15","9","21","17",
"0600000US5000108575","Bridport town, Addison County, Vermont","916","131","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","15","17","4","5","14","17","5","7","6","6","285","68","30","20","56","27","133","53","49","23","186","66","69","29","38","19","26","16",
"0600000US5000109025","Bristol town, Addison County, Vermont","3085","168","10","16","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","19","22","0","10","51","41","8","10","6","10","860","269","89","52","163","68","334","108","253","129","837","180","402","133","12","21","41","32",
"0600000US5000116000","Cornwall town, Addison County, Vermont","930","170","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","10","10","6","8","0","10","11","17","223","106","23","20","19","10","43","22","86","60","271","64","156","42","23","11","59","22",
"0600000US5000126300","Ferrisburgh town, Addison County, Vermont","1988","135","7","8","0","10","0","10","0","10","0","10","0","10","0","10","0","10","4","7","0","10","2","3","0","10","18","16","54","63","4","6","398","107","35","21","90","46","210","84","150","56","638","118","266","75","39","37","73","41",
"0600000US5000128600","Goshen town, Addison County, Vermont","123","37","1","2","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","1","3","0","10","0","10","0","10","5","4","26","21","3","3","14","15","9","7","12","7","37","20","13","8","0","10","2","5",
"0600000US5000129575","Granville town, Addison County, Vermont","330","80","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","5","7","0","10","7","5","1","2","1","3","90","26","9","7","50","49","41","24","25","17","44","20","49","26","6","8","2","3",
"0600000US5000131525","Hancock town, Addison County, Vermont","280","63","2","3","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","2","3","1","3","3","3","1","3","6","8","118","40","18","13","4","4","20","11","9","5","84","45","10","9","1","2","1","3",
"0600000US5000139325","Leicester town, Addison County, Vermont","834","116","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","7","7","0","10","8","8","11","9","20","20","239","75","24","15","31","17","133","70","62","27","239","77","39","19","15","14","6","9",
