"GEO_ID","NAME","B08201_001E","B08201_001M","B08201_002E","B08201_002M","B08201_003E","B08201_003M","B08201_004E","B08201_004M","B08201_005E","B08201_005M","B08201_006E","B08201_006M","B08201_007E","B08201_007M","B08201_008E","B08201_008M","B08201_009E","B08201_009M","B08201_010E","B08201_010M","B08201_011E","B08201_011M","B08201_012E","B08201_012M","B08201_013E","B08201_013M","B08201_014E","B08201_014M","B08201_015E","B08201_015M","B08201_016E","B08201_016M","B08201_017E","B08201_017M","B08201_018E","B08201_018M","B08201_019E","B08201_019M","B08201_020E","B08201_020M","B08201_021E","B08201_021M","B08201_022E","B08201_022M","B08201_023E","B08201_023M","B08201_024E","B08201_024M","B08201_025E","B08201_025M","B08201_026E","B08201_026M","B08201_027E","B08201_027M","B08201_028E","B08201_028M","B08201_029E","B08201_029M","B08201_030E","B08201_030M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No vehicle available","Margin of Error!!Total:!!No vehicle available","Estimate!!Total:!!1 vehicle available","Margin of Error!!Total:!!1 vehicle available","Estimate!!Total:!!2 vehicles available","Margin of Error!!Total:!!2 vehicles available","Estimate!!Total:!!3 vehicles available","Margin of Error!!Total:!!3 vehicles available","Estimate!!Total:!!4 or more vehicles available","Margin of Error!!Total:!!4 or more vehicles available","Estimate!!Total:!!1-person household:","Margin of Error!!Total:!!1-person household:","Estimate!!Total:!!1-person household:!!No vehicle available","Margin of Error!!Total:!!1-person household:!!No vehicle available","Estimate!!Total:!!1-person household:!!1 vehicle available","Margin of Error!!Total:!!1-person household:!!1 vehicle available","Estimate!!Total:!!1-person household:!!2 vehicles available","Margin of Error!!Total:!!1-person household:!!2 vehicles available","Estimate!!Total:!!1-person household:!!3 vehicles available","Margin of Error!!Total:!!1-person household:!!3 vehicles available","Estimate!!Total:!!1-person household:!!4 or more vehicles available","Margin of Error!!Total:!!1-person household:!!4 or more vehicles available","Estimate!!Total:!!2-person household:","Margin of Error!!Total:!!2-person household:","Estimate!!Total:!!2-person household:!!No vehicle available","Margin of Error!!Total:!!2-person household:!!No vehicle available","Estimate!!Total:!!2-person household:!!1 vehicle available","Margin of Error!!Total:!!2-person household:!!1 vehicle available","Estimate!!Total:!!2-person household:!!2 vehicles available","Margin of Error!!Total:!!2-person household:!!2 vehicles available","Estimate!!Total:!!2-person household:!!3 vehicles available","Margin of Error!!Total:!!2-person household:!!3 vehicles available","Estimate!!Total:!!2-person household:!!4 or more vehicles available","Margin of Error!!Total:!!2-person household:!!4 or more vehicles available","Estimate!!Total:!!3-person household:","Margin of Error!!Total:!!3-person household:","Estimate!!Total:!!3-person household:!!No vehicle available","Margin of Error!!Total:!!3-person household:!!No vehicle available","Estimate!!Total:!!3-person household:!!1 vehicle available","Margin of Error!!Total:!!3-person household:!!1 vehicle available","Estimate!!Total:!!3-person household:!!2 vehicles available","Margin of Error!!Total:!!3-person household:!!2 vehicles available","Estimate!!Total:!!3-person household:!!3 vehicles available","Margin of Error!!Total:!!3-person household:!!3 vehicles available","Estimate!!Total:!!3-person household:!!4 or more vehicles available","Margin of Error!!Total:!!3-person household:!!4 or more vehicles available","Estimate!!Total:!!4-or-more-person household:","Margin of Error!!Total:!!4-or-more-person household:","Estimate!!Total:!!4-or-more-person household:!!No vehicle available","Margin of Error!!Total:!!4-or-more-person household:!!No vehicle available","Estimate!!Total:!!4-or-more-person household:!!1 vehicle available","Margin of Error!!Total:!!4-or-more-person household:!!1 vehicle available","Estimate!!Total:!!4-or-more-person household:!!2 vehicles available","Margin of Error!!Total:!!4-or-more-person household:!!2 vehicles available","Estimate!!Total:!!4-or-more-person household:!!3 vehicles available","Margin of Error!!Total:!!4-or-more-person household:!!3 vehicles available","Estimate!!Total:!!4-or-more-person household:!!4 or more vehicles available","Margin of Error!!Total:!!4-or-more-person household:!!4 or more vehicles available",
"0600000US5000100325","Addison town, Addison County, Vermont","490","58","3","4","144","36","199","45","73","27","71","29","127","34","3","4","89","29","33","25","2","5","0","10","226","41","0","10","32","13","113","30","47","22","34","24","75","34","0","10","3","4","32","25","19","12","21","19","62","28","0","10","20","16","21","14","5","6","16","16",
"0600000US5000108575","Bridport town, Addison County, Vermont","530","88","8","7","159","71","244","54","92","31","27","19","149","67","8","7","98","57","33","16","10","14","0","10","237","52","0","10","41","26","145","42","48","23","3","5","53","20","0","10","5","7","29","15","16","10","3","5","91","39","0","10","15","22","37","26","18","17","21","17",
"0600000US5000109025","Bristol town, Addison County, Vermont","1861","140","114","72","745","186","695","148","237","81","70","55","615","188","93","60","474","167","10","17","38","29","0","10","896","163","21","31","212","107","523","130","122","59","18","19","172","78","0","10","59","48","46","37","31","30","36","47","178","62","0","10","0","10","116","64","46","39","16","24",
"0600000US5000116000","Cornwall town, Addison County, Vermont","492","96","5","8","115","46","283","77","66","19","23","11","132","75","5","8","87","41","40","54","0","10","0","10","217","42","0","10","24","19","147","39","36","14","10","8","53","25","0","10","0","10","43","25","7","6","3","4","90","29","0","10","4","5","53","25","23","14","10","7",
"0600000US5000126300","Ferrisburgh town, Addison County, Vermont","1085","85","32","36","250","84","478","71","229","57","96","57","204","76","5","9","109","52","72","43","18","17","0","10","472","94","27","35","102","67","221","68","95","39","27","22","207","66","0","10","25","29","33","21","98","54","51","53","202","50","0","10","14","19","152","59","18","19","18","16",
"0600000US5000128600","Goshen town, Addison County, Vermont","70","19","2","3","17","9","30","13","20","13","1","3","22","11","2","3","15","10","5","5","0","10","0","10","41","17","0","10","1","2","21","12","18","13","1","3","4","4","0","10","0","10","2","3","2","3","0","10","3","8","0","10","1","4","2","5","0","10","0","10",
"0600000US5000129575","Granville town, Addison County, Vermont","206","61","3","4","100","56","68","22","24","13","11","9","84","54","3","4","75","53","3","3","2","3","1","2","73","23","0","10","23","16","32","13","13","8","5","9","31","18","0","10","2","3","18","15","7","6","4","4","18","11","0","10","0","10","15","10","2","3","1","3",
"0600000US5000131525","Hancock town, Addison County, Vermont","210","82","2","3","42","28","52","16","82","73","32","24","78","75","2","3","9","9","13","11","54","73","0","10","72","28","0","10","28","25","29","10","15","9","0","10","45","25","0","10","3","5","6","5","8","7","28","25","15","9","0","10","2","3","4","4","5","5","4","5",
"0600000US5000139325","Leicester town, Addison County, Vermont","454","76","17","12","134","50","196","71","83","34","24","16","164","77","0","10","112","51","52","56","0","10","0","10","199","52","10","9","17","13","115","47","37","17","20","16","30","15","7","9","5","8","9","8","9","8","0","10","61","29","0","10","0","10","20","19","37","23","4","5",
"0600000US5000140075","Lincoln town, Addison County, Vermont","578","64","19","12","166","38","197","40","98","32","98","31","167","44","13","9","118","38","23","11","13","13","0","10","196","39","6","8","48","17","104","27","25","11","13","11","94","38","0","10","0","10","44","26","27","23","23","11","121","32","0","10","0","10","26","16","33","16","62","29",
"0600000US5000144350","Middlebury town, Addison County, Vermont","2795","168","304","120","1090","161","1015","163","268","90","118","54","897","184","244","114","630","149","15","23","8","13","0","15","1216","191","52","47","398","102","643","153","107","51","16","23","332","97","0","15","33","32","202","74","66","44","31","30","350","59","8","14","29","25","155","66","87","65","71","43",
