"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)",
"0600000US5000100325","Addison town, Addison County, Vermont","106667","7181",
"0600000US5000108575","Bridport town, Addison County, Vermont","83214","17776",
"0600000US5000109025","Bristol town, Addison County, Vermont","74620","8110",
"0600000US5000116000","Cornwall town, Addison County, Vermont","114583","32017",
"0600000US5000126300","Ferrisburgh town, Addison County, Vermont","106989","21771",
"0600000US5000128600","Goshen town, Addison County, Vermont","56250","32508",
"0600000US5000129575","Granville town, Addison County, Vermont","60500","20870",
"0600000US5000131525","Hancock town, Addison County, Vermont","76250","33926",
"0600000US5000139325","Leicester town, Addison County, Vermont","70417","30423",
"0600000US5000140075","Lincoln town, Addison County, Vermont","96667","17954",
"0600000US5000144350","Middlebury town, Addison County, Vermont","86169","15744",
"0600000US5000145550","Monkton town, Addison County, Vermont","119688","27982",
"0600000US5000148700","New Haven town, Addison County, Vermont","92321","16922",
"0600000US5000153725","Orwell town, Addison County, Vermont","70417","22458",
"0600000US5000153950","Panton town, Addison County, Vermont","86667","9614",
"0600000US5000159650","Ripton town, Addison County, Vermont","112917","14750",
"0600000US5000162575","Salisbury town, Addison County, Vermont","99688","21381",
"0600000US5000165050","Shoreham town, Addison County, Vermont","93654","22931",
"0600000US5000170075","Starksboro town, Addison County, Vermont","82188","15313",
"0600000US5000174650","Vergennes city, Addison County, Vermont","76587","12755",
"0600000US5000176075","Waltham town, Addison County, Vermont","97500","13819",
"0600000US5000183275","Weybridge town, Addison County, Vermont","118083","18342",
"0600000US5000183800","Whiting town, Addison County, Vermont","91250","37709",
"0600000US5000301450","Arlington town, Bennington County, Vermont","102308","10759",
"0600000US5000304825","Bennington town, Bennington County, Vermont","59446","7440",
"0600000US5000317725","Dorset town, Bennington County, Vermont","111250","40453",
"0600000US5000327962","Glastenbury town, Bennington County, Vermont","-","**",
"0600000US5000339025","Landgrove town, Bennington County, Vermont","195938","166849",
"0600000US5000342850","Manchester town, Bennington County, Vermont","94886","22757",
"0600000US5000355000","Peru town, Bennington County, Vermont","151875","82732",
"0600000US5000357025","Pownal town, Bennington County, Vermont","64163","21076",
"0600000US5000358600","Readsboro town, Bennington County, Vermont","55268","12352",
"0600000US5000361000","Rupert town, Bennington County, Vermont","88229","35873",
"0600000US5000362875","Sandgate town, Bennington County, Vermont","69167","18993",
"0600000US5000363175","Searsburg town, Bennington County, Vermont","61071","49326",
"0600000US5000363550","Shaftsbury town, Bennington County, Vermont","86071","24478",
"0600000US5000369775","Stamford town, Bennington County, Vermont","88646","9226",
"0600000US5000371425","Sunderland town, Bennington County, Vermont","88523","15919",
"0600000US5000385075","Winhall town, Bennington County, Vermont","95500","23228",
"0600000US5000385675","Woodford town, Bennington County, Vermont","81250","20487",
"0600000US5000502875","Barnet town, Caledonia County, Vermont","67386","15221",
"0600000US5000510450","Burke town, Caledonia County, Vermont","87143","17233",
"0600000US5000517125","Danville town, Caledonia County, Vermont","70946","7023",
"0600000US5000530550","Groton town, Caledonia County, Vermont","77250","13883",
"0600000US5000531825","Hardwick town, Caledonia County, Vermont","92297","17316",
"0600000US5000537900","Kirby town, Caledonia County, Vermont","54792","21199",
"0600000US5000541725","Lyndon town, Caledonia County, Vermont","68786","5785",
"0600000US5000547725","Newark town, Caledonia County, Vermont","72929","6654",
"0600000US5000554400","Peacham town, Caledonia County, Vermont","90000","28387",
"0600000US5000561525","Ryegate town, Caledonia County, Vermont","66484","14558",
