"GEO_ID","NAME","B25035_001E","B25035_001M",
"Geography","Geographic Area Name","Estimate!!Median year structure built","Margin of Error!!Median year structure built",
"0600000US5000100325","Addison town, Addison County, Vermont","1980","6",
"0600000US5000108575","Bridport town, Addison County, Vermont","1978","6",
"0600000US5000109025","Bristol town, Addison County, Vermont","1976","5",
"0600000US5000116000","Cornwall town, Addison County, Vermont","1976","7",
"0600000US5000126300","Ferrisburgh town, Addison County, Vermont","1968","6",
"0600000US5000128600","Goshen town, Addison County, Vermont","1978","7",
"0600000US5000129575","Granville town, Addison County, Vermont","1974","4",
"0600000US5000131525","Hancock town, Addison County, Vermont","1972","34",
"0600000US5000139325","Leicester town, Addison County, Vermont","1981","3",
"0600000US5000140075","Lincoln town, Addison County, Vermont","1977","5",
"0600000US5000144350","Middlebury town, Addison County, Vermont","1976","4",
"0600000US5000145550","Monkton town, Addison County, Vermont","1988","6",
"0600000US5000148700","New Haven town, Addison County, Vermont","1981","5",
"0600000US5000153725","Orwell town, Addison County, Vermont","1982","4",
"0600000US5000153950","Panton town, Addison County, Vermont","1974","10",
"0600000US5000159650","Ripton town, Addison County, Vermont","1973","5",
"0600000US5000162575","Salisbury town, Addison County, Vermont","1967","10",
"0600000US5000165050","Shoreham town, Addison County, Vermont","1979","7",
"0600000US5000170075","Starksboro town, Addison County, Vermont","1986","4",
"0600000US5000174650","Vergennes city, Addison County, Vermont","1967","7",
"0600000US5000176075","Waltham town, Addison County, Vermont","1986","3",
"0600000US5000183275","Weybridge town, Addison County, Vermont","1976","4",
"0600000US5000183800","Whiting town, Addison County, Vermont","1975","14",
"0600000US5000301450","Arlington town, Bennington County, Vermont","1966","6",
"0600000US5000304825","Bennington town, Bennington County, Vermont","1961","4",
"0600000US5000317725","Dorset town, Bennington County, Vermont","1972","7",
"0600000US5000327962","Glastenbury town, Bennington County, Vermont","-","**",
"0600000US5000339025","Landgrove town, Bennington County, Vermont","1979","5",
"0600000US5000342850","Manchester town, Bennington County, Vermont","1981","3",
"0600000US5000355000","Peru town, Bennington County, Vermont","1981","3",
"0600000US5000357025","Pownal town, Bennington County, Vermont","1969","5",
"0600000US5000358600","Readsboro town, Bennington County, Vermont","1972","4",
"0600000US5000361000","Rupert town, Bennington County, Vermont","1955","45",
"0600000US5000362875","Sandgate town, Bennington County, Vermont","1959","10",
"0600000US5000363175","Searsburg town, Bennington County, Vermont","1983","6",
"0600000US5000363550","Shaftsbury town, Bennington County, Vermont","1977","3",
"0600000US5000369775","Stamford town, Bennington County, Vermont","1980","6",
"0600000US5000371425","Sunderland town, Bennington County, Vermont","1973","6",
"0600000US5000385075","Winhall town, Bennington County, Vermont","1982","2",
"0600000US5000385675","Woodford town, Bennington County, Vermont","1974","6",
"0600000US5000502875","Barnet town, Caledonia County, Vermont","1974","6",
"0600000US5000510450","Burke town, Caledonia County, Vermont","1981","5",
"0600000US5000517125","Danville town, Caledonia County, Vermont","1976","10",
"0600000US5000530550","Groton town, Caledonia County, Vermont","1981","15",
"0600000US5000531825","Hardwick town, Caledonia County, Vermont","1962","21",
"0600000US5000537900","Kirby town, Caledonia County, Vermont","1985","9",
"0600000US5000541725","Lyndon town, Caledonia County, Vermont","1981","4",
"0600000US5000547725","Newark town, Caledonia County, Vermont","1980","5",
"0600000US5000554400","Peacham town, Caledonia County, Vermont","1976","5",
"0600000US5000561525","Ryegate town, Caledonia County, Vermont","1949","14",
"0600000US5000562200","St. Johnsbury town, Caledonia County, Vermont","1944","6",
"0600000US5000564075","Sheffield town, Caledonia County, Vermont","1987","7",
