"GEO_ID","NAME","B25024_001E","B25024_001M","B25024_002E","B25024_002M","B25024_003E","B25024_003M","B25024_004E","B25024_004M","B25024_005E","B25024_005M","B25024_006E","B25024_006M","B25024_007E","B25024_007M","B25024_008E","B25024_008M","B25024_009E","B25024_009M","B25024_010E","B25024_010M","B25024_011E","B25024_011M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!1, detached","Margin of Error!!Total:!!1, detached","Estimate!!Total:!!1, attached","Margin of Error!!Total:!!1, attached","Estimate!!Total:!!2","Margin of Error!!Total:!!2","Estimate!!Total:!!3 or 4","Margin of Error!!Total:!!3 or 4","Estimate!!Total:!!5 to 9","Margin of Error!!Total:!!5 to 9","Estimate!!Total:!!10 to 19","Margin of Error!!Total:!!10 to 19","Estimate!!Total:!!20 to 49","Margin of Error!!Total:!!20 to 49","Estimate!!Total:!!50 or more","Margin of Error!!Total:!!50 or more","Estimate!!Total:!!Mobile home","Margin of Error!!Total:!!Mobile home","Estimate!!Total:!!Boat, RV, van, etc.","Margin of Error!!Total:!!Boat, RV, van, etc.",
"0600000US5000100325","Addison town, Addison County, Vermont","656","78","572","76","12","11","13","16","0","10","0","10","0","10","0","10","0","10","59","30","0","10",
"0600000US5000108575","Bridport town, Addison County, Vermont","656","98","566","87","14","11","12","10","0","10","0","10","0","10","0","10","0","10","60","37","4","5",
"0600000US5000109025","Bristol town, Addison County, Vermont","1906","142","1224","153","46","30","148","71","49","42","190","90","69","56","9","15","0","10","171","112","0","10",
"0600000US5000116000","Cornwall town, Addison County, Vermont","562","101","474","97","0","10","38","26","6","4","0","10","0","10","0","10","0","10","44","34","0","10",
"0600000US5000126300","Ferrisburgh town, Addison County, Vermont","1472","100","1334","110","25","21","43","39","10","10","0","10","0","10","0","10","0","10","60","42","0","10",
"0600000US5000128600","Goshen town, Addison County, Vermont","110","25","105","25","0","10","0","10","0","10","0","10","0","10","0","10","0","10","5","4","0","10",
"0600000US5000129575","Granville town, Addison County, Vermont","287","63","243","42","0","10","3","6","0","10","0","10","0","10","0","10","0","10","41","44","0","10",
"0600000US5000131525","Hancock town, Addison County, Vermont","244","89","218","88","0","10","8","7","0","10","2","3","0","10","0","10","0","10","16","10","0","10",
"0600000US5000139325","Leicester town, Addison County, Vermont","700","98","616","100","0","10","4","5","17","14","10","15","0","10","0","10","0","10","53","21","0","10",
"0600000US5000140075","Lincoln town, Addison County, Vermont","675","69","588","69","3","4","28","28","22","9","0","10","0","10","0","10","0","10","34","20","0","10",
"0600000US5000144350","Middlebury town, Addison County, Vermont","3210","156","1822","167","203","73","285","118","274","110","148","73","33","25","182","74","213","97","50","50","0","15",
"0600000US5000145550","Monkton town, Addison County, Vermont","904","98","857","103","2","3","21","22","1","2","0","10","0","10","0","10","0","10","23","16","0","10",
"0600000US5000148700","New Haven town, Addison County, Vermont","825","94","633","78","13","14","30","24","18","10","28","17","0","10","0","10","0","10","103","57","0","10",
"0600000US5000153725","Orwell town, Addison County, Vermont","656","75","607","75","0","10","6","6","7","8","0","10","0","10","0","10","0","10","36","22","0","10",
"0600000US5000153950","Panton town, Addison County, Vermont","333","49","310","46","0","10","15","13","0","10","0","10","0","10","6","10","0","10","2","3","0","10",
"0600000US5000159650","Ripton town, Addison County, Vermont","292","60","282","59","0","10","0","10","8","12","0","10","0","10","0","10","0","10","2","4","0","10",
"0600000US5000162575","Salisbury town, Addison County, Vermont","703","90","630","88","4","5","26","19","0","10","0","10","0","10","0","10","0","10","43","25","0","10",
"0600000US5000165050","Shoreham town, Addison County, Vermont","610","88","490","81","3","5","30","23","10","7","12","19","0","10","0","10","0","10","65","30","0","10",
"0600000US5000170075","Starksboro town, Addison County, Vermont","805","80","544","76","6","8","24","22","9","10","0","10","0","10","0","10","0","10","222","53","0","10",
"0600000US5000174650","Vergennes city, Addison County, Vermont","1196","87","752","98","39","28","52","40","92","58","99","43","55","37","37","22","0","10","70","34","0","10",
"0600000US5000176075","Waltham town, Addison County, Vermont","218","46","167","36","1","2","12","7","0","10","0","10","0","10","0","10","0","10","38","25","0","10",
"0600000US5000183275","Weybridge town, Addison County, Vermont","374","62","341","58","7","6","14","17","0","10","0","10","0","10","0","10","0","10","12","7","0","10",
"0600000US5000183800","Whiting town, Addison County, Vermont","223","71","161","56","3","4","0","10","0","10","34","42","0","10","0","10","0","10","25","13","0","10",
"0600000US5000301450","Arlington town, Bennington County, Vermont","1245","118","1104","117","18","13","4","6","42","33","35","28","0","10","0","10","0","10","42","31","0","10",
"0600000US5000304825","Bennington town, Bennington County, Vermont","6997","288","4001","361","157","92","527","199","1059","307","462","198","83","66","216","137","115","71","377","123","0","16",
"0600000US5000317725","Dorset town, Bennington County, Vermont","1448","121","1358","128","18","29","19","23","15","15","0","10","0","10","0","10","0","10","32","38","6","9",
"0600000US5000327962","Glastenbury town, Bennington County, Vermont","2","4","2","4","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10",
"0600000US5000339025","Landgrove town, Bennington County, Vermont","194","46","188","47","0","10","0","10","6","8","0","10","0","10","0","10","0","10","0","10","0","10",
"0600000US5000342850","Manchester town, Bennington County, Vermont","2856","254","1953","199","192","88","290","136","100","78","250","109","0","10","3","4","40","27","28","22","0","10",
"0600000US5000355000","Peru town, Bennington County, Vermont","683","86","364","68","31","17","43","24","183","50","30","20","21","19","0","10","0","10","11","12","0","10",
"0600000US5000357025","Pownal town, Bennington County, Vermont","1571","176","1229","169","11","18","11","17","0","10","0","10","0","10","0","10","8","14","312","135","0","10",
"0600000US5000358600","Readsboro town, Bennington County, Vermont","567","84","449","69","0","10","7","10","68","40","0","10","9","9","8","10","0","10","26","18","0","10",
"0600000US5000361000","Rupert town, Bennington County, Vermont","402","81","384","78","0","10","8","13","0","10","0","10","0","10","0","10","0","10","10","8","0","10",
"0600000US5000362875","Sandgate town, Bennington County, Vermont","313","85","295","82","2","5","0","10","0","10","0","10","0","10","0","10","0","10","16","17","0","10",
"0600000US5000363175","Searsburg town, Bennington County, Vermont","71","25","64","22","0","10","0","10","0","10","0","10","0","10","0","10","0","10","7","10","0","10",
"0600000US5000363550","Shaftsbury town, Bennington County, Vermont","1595","168","1373","174","15","23","51","46","0","10","100","62","0","10","0","10","0","10","56","46","0","10",
"0600000US5000369775","Stamford town, Bennington County, Vermont","451","56","437","56","0","10","5","6","0","10","0","10","0","10","0","10","0","10","9","10","0","10",
