"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"0600000US5000100325","Addison town, Addison County, Vermont","490","58","437","59","53","25",
"0600000US5000108575","Bridport town, Addison County, Vermont","530","88","435","80","95","47",
"0600000US5000109025","Bristol town, Addison County, Vermont","1861","140","1327","147","534","144",
"0600000US5000116000","Cornwall town, Addison County, Vermont","492","96","464","96","28","13",
"0600000US5000126300","Ferrisburgh town, Addison County, Vermont","1085","85","926","67","159","72",
"0600000US5000128600","Goshen town, Addison County, Vermont","70","19","70","19","0","10",
"0600000US5000129575","Granville town, Addison County, Vermont","206","61","180","61","26","15",
"0600000US5000131525","Hancock town, Addison County, Vermont","210","82","125","36","85","75",
"0600000US5000139325","Leicester town, Addison County, Vermont","454","76","388","75","66","32",
"0600000US5000140075","Lincoln town, Addison County, Vermont","578","64","509","61","69","21",
"0600000US5000144350","Middlebury town, Addison County, Vermont","2795","168","1820","140","975","177",
"0600000US5000145550","Monkton town, Addison County, Vermont","847","99","818","100","29","24",
"0600000US5000148700","New Haven town, Addison County, Vermont","779","93","609","74","170","59",
"0600000US5000153725","Orwell town, Addison County, Vermont","519","67","453","60","66","35",
"0600000US5000153950","Panton town, Addison County, Vermont","264","42","221","44","43","24",
"0600000US5000159650","Ripton town, Addison County, Vermont","187","53","170","50","17","13",
"0600000US5000162575","Salisbury town, Addison County, Vermont","471","77","418","69","53","32",
"0600000US5000165050","Shoreham town, Addison County, Vermont","544","78","440","77","104","44",
"0600000US5000170075","Starksboro town, Addison County, Vermont","703","82","642","84","61","31",
"0600000US5000174650","Vergennes city, Addison County, Vermont","1129","84","814","100","315","80",
"0600000US5000176075","Waltham town, Addison County, Vermont","204","45","176","39","28","20",
"0600000US5000183275","Weybridge town, Addison County, Vermont","331","59","277","49","54","31",
"0600000US5000183800","Whiting town, Addison County, Vermont","217","70","142","41","75","58",
"0600000US5000301450","Arlington town, Bennington County, Vermont","864","113","726","105","138","45",
"0600000US5000304825","Bennington town, Bennington County, Vermont","6358","335","3716","365","2642","401",
"0600000US5000317725","Dorset town, Bennington County, Vermont","838","113","760","109","78","42",
"0600000US5000327962","Glastenbury town, Bennington County, Vermont","0","10","0","10","0","10",
"0600000US5000339025","Landgrove town, Bennington County, Vermont","107","39","101","39","6","8",
"0600000US5000342850","Manchester town, Bennington County, Vermont","1847","178","1363","152","484","144",
"0600000US5000355000","Peru town, Bennington County, Vermont","167","50","132","48","35","19",
"0600000US5000357025","Pownal town, Bennington County, Vermont","1409","144","1305","167","104","73",
"0600000US5000358600","Readsboro town, Bennington County, Vermont","390","73","298","55","92","43",
"0600000US5000361000","Rupert town, Bennington County, Vermont","287","76","269","70","18","20",
"0600000US5000362875","Sandgate town, Bennington County, Vermont","212","75","200","74","12","13",
"0600000US5000363175","Searsburg town, Bennington County, Vermont","50","19","50","19","0","10",
"0600000US5000363550","Shaftsbury town, Bennington County, Vermont","1280","161","1054","141","226","98",
"0600000US5000369775","Stamford town, Bennington County, Vermont","367","47","350","47","17","10",
"0600000US5000371425","Sunderland town, Bennington County, Vermont","407","61","374","68","33","18",
"0600000US5000385075","Winhall town, Bennington County, Vermont","282","61","227","56","55","37",
"0600000US5000385675","Woodford town, Bennington County, Vermont","122","24","117","23","5","6",
"0600000US5000502875","Barnet town, Caledonia County, Vermont","751","90","600","83","151","53",
"0600000US5000510450","Burke town, Caledonia County, Vermont","562","74","498","67","64","35",
"0600000US5000517125","Danville town, Caledonia County, Vermont","1064","130","895","101","169","116",
"0600000US5000530550","Groton town, Caledonia County, Vermont","429","97","405","93","24","23",
"0600000US5000531825","Hardwick town, Caledonia County, Vermont","1333","135","1019","107","314","126",
"0600000US5000537900","Kirby town, Caledonia County, Vermont","263","63","246","64","17","9",
"0600000US5000541725","Lyndon town, Caledonia County, Vermont","2309","161","1976","152","333","104",
"0600000US5000547725","Newark town, Caledonia County, Vermont","292","61","265","56","27","22",
"0600000US5000554400","Peacham town, Caledonia County, Vermont","410","85","312","78","98","37",
"0600000US5000561525","Ryegate town, Caledonia County, Vermont","445","68","377","63","68","31",
"0600000US5000562200","St. Johnsbury town, Caledonia County, Vermont","3266","150","1945","168","1321","174",
"0600000US5000564075","Sheffield town, Caledonia County, Vermont","252","47","211","44","41","25",
"0600000US5000569925","Stannard town, Caledonia County, Vermont","105","28","103","28","2","3",
