projectIdentifier,programArea,programFy,region,state,stateNumberCode,county,countyCode,disasterNumber,projectCounties,projectType,status,recipient,recipientTribalIndicator,subrecipient,subrecipientTribalIndicator,dataSource,dateApproved,dateClosed,dateInitiallyApproved,projectAmount,initialObligationDate,initialObligationAmount,federalShareObligated,subrecipientAdminCostAmt,srmcObligatedAmt,recipientAdminCostAmt,costSharePercentage,benefitCostRatio,netValueBenefits,numberOfFinalProperties,numberOfProperties,id
DR-4532-0005-R,HMGP,2020,1,Vermont,50,Rutland,21.0,4532.0,RUTLAND,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,Statewide,0.0,Pittsfield (Town of),0.0,HMGP,2025-01-13T00:00:00.000Z,2025-01-17T00:00:00.000Z,2023-06-28T00:00:00.000Z,155765.23,2023-07-18T00:00:00.000Z,250371.0,140188.7,0.0,0.0,0.0,0.9,1.13,323000.0,1,1,344986e8-9849-4f9a-9504-436d4a3c92c7
DR-4720-0047-R,HMGP,2023,1,Vermont,50,Washington,23.0,4720.0,WASHINGTON,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Approved,Statewide,0.0,Statewide,0.0,HMGP,2024-11-14T00:00:00.000Z,,2024-11-14T00:00:00.000Z,316721.0,2024-11-18T00:00:00.000Z,237540.75,237540.75,0.0,0.0,0.0,0.75,0.0,0.0,1,1,1bce9785-0760-4558-bf79-6cd8047bad9b
DR-4720-0069-R,HMGP,2023,1,Vermont,50,Washington,23.0,4720.0,WASHINGTON,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Approved,Statewide,0.0,Statewide,0.0,HMGP,2025-04-21T00:00:00.000Z,,2025-04-21T00:00:00.000Z,354357.0,2025-04-25T00:00:00.000Z,265767.75,265767.75,0.0,0.0,0.0,0.75,0.0,0.0,1,1,62892290-55db-4565-90e1-29436e27138c
DR-4720-0043-R,HMGP,2023,1,Vermont,50,Washington,23.0,4720.0,WASHINGTON,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Approved,Statewide,0.0,Statewide,0.0,HMGP,2024-11-14T00:00:00.000Z,,2024-11-14T00:00:00.000Z,162644.0,2024-11-18T00:00:00.000Z,121983.0,121983.0,0.0,0.0,0.0,0.75,0.0,0.0,1,1,65ee2247-4a87-42b0-a1d0-70c290c0a844
DR-4022-0109-R,HMGP,2011,1,Vermont,50,Washington,23.0,4022.0,WASHINGTON,202.1: Elevation of Private Structures - Riverine,Closed,Statewide,0.0,Waterbury (Town of),0.0,HMGP,2016-05-11T00:00:00.000Z,2016-05-11T00:00:00.000Z,,0.0,2015-02-09T00:00:00.000Z,54308.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0,1,d3018dab-e76a-4236-8d76-a5da6fc581ff
DR-4720-0062-R,HMGP,2023,1,Vermont,50,Washington,23.0,4720.0,WASHINGTON,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Approved,Statewide,0.0,Statewide,0.0,HMGP,2025-01-02T00:00:00.000Z,,2025-01-02T00:00:00.000Z,1302932.0,2025-01-17T00:00:00.000Z,977199.0,977199.0,0.0,0.0,0.0,0.75,0.0,0.0,3,3,c20a1af6-8556-4cce-892d-9993bd067909
DR-4022-0124-R,HMGP,2011,1,Vermont,50,Washington,23.0,4022.0,WASHINGTON,403.1: Stormwater Management - Culverts,Closed,Statewide,0.0,Cabot (Town of),0.0,HMGP,2024-06-06T00:00:00.000Z,2024-06-06T00:00:00.000Z,2015-09-08T00:00:00.000Z,104618.74,2015-09-11T00:00:00.000Z,137828.0,78464.05,0.0,0.0,0.0,0.75,1.05,193059.0,0,0,f2276e5d-6386-4ea8-8461-69aae4b786cf
DR-4022-0100-R,HMGP,2011,1,Vermont,50,Washington,23.0,4022.0,WASHINGTON,204.3: Dry Floodproofing Public Structures - Riverine,Closed,Statewide,0.0,Warren (Town of),0.0,HMGP,2022-09-21T00:00:00.000Z,2022-09-22T00:00:00.000Z,2014-11-19T00:00:00.000Z,6293.36,2014-11-21T00:00:00.000Z,38250.0,4720.02,0.0,0.0,0.0,0.75,4.15,464119.0,1,1,18acda97-0484-4641-841d-09b6e472f845
DR-4022-0065-R,HMGP,2011,1,Vermont,50,Washington,23.0,4022.0,WASHINGTON,403.1: Stormwater Management - Culverts,Closed,Statewide,0.0,Barre,0.0,HMGP,2022-05-23T00:00:00.000Z,2022-05-24T00:00:00.000Z,2014-08-05T00:00:00.000Z,0.0,2014-08-12T00:00:00.000Z,116006.0,0.0,0.0,0.0,0.0,0.75,2.75,444619.0,0,0,e1187cbf-9bf3-462d-b861-5ae354b53f26
DR-4720-0035-R,HMGP,2023,1,Vermont,50,Washington,23.0,4720.0,WASHINGTON,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Approved,Statewide,0.0,Statewide,0.0,HMGP,2024-10-01T00:00:00.000Z,,2024-10-01T00:00:00.000Z,322438.0,2024-11-14T00:00:00.000Z,241828.5,241828.5,0.0,0.0,0.0,0.75,0.0,0.0,0,1,0430f302-34cb-4061-8ffe-9f18190d383c
DR-4022-0056-R,HMGP,2011,1,Vermont,50,Washington,23.0,4022.0,WASHINGTON,200.3: Acquisition of Public Real Property (Structures and Land) - Riverine,Closed,Statewide,0.0,MORETOWN TOWN CLERK,0.0,HMGP,2016-05-11T00:00:00.000Z,2016-05-11T00:00:00.000Z,,0.0,2013-11-06T00:00:00.000Z,125660.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0,1,662204ba-bd5b-4cc9-b605-394f5aec9d6c
DR-4163-0009-F,HMGP,2014,1,Vermont,50,Rutland,21.0,4163.0,RUTLAND,"600.1: Warning Systems (as a Component of a Planned, Adopted, and Exercised Risk Reduction Plan)",Closed,Statewide,0.0,Chittenden (County),0.0,HMGP,2022-08-25T00:00:00.000Z,2022-08-29T00:00:00.000Z,2016-09-09T00:00:00.000Z,38595.8,2016-09-17T00:00:00.000Z,31500.0,28570.8,0.0,0.0,0.0,0.74,0.0,0.0,0,0,574c0937-0824-4c61-aa6b-f07609ca2272
DR-4720-0034-R,HMGP,2023,1,Vermont,50,Washington,23.0,4720.0,WASHINGTON,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Approved,Statewide,0.0,Statewide,0.0,HMGP,2024-10-02T00:00:00.000Z,,2024-08-28T00:00:00.000Z,858500.0,2024-10-03T00:00:00.000Z,643875.0,643875.0,0.0,0.0,0.0,0.75,0.0,0.0,1,3,2181d081-8334-4015-af27-6426e2fb01fd
DR-4720-0023-R,HMGP,2023,1,Vermont,50,Washington,23.0,4720.0,WASHINGTON,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Approved,Statewide,0.0,Marshfield (Town of),0.0,HMGP,2024-10-02T00:00:00.000Z,,2024-08-25T00:00:00.000Z,803500.0,2024-10-03T00:00:00.000Z,602625.0,602625.0,0.0,0.0,0.0,0.75,0.0,0.0,0,2,ce2f5eba-a821-4cc9-a13d-5f138123cc3d
DR-4720-0067-R,HMGP,2023,1,Vermont,50,Washington,23.0,4720.0,WASHINGTON,201.1: Relocation of Private Structures - Riverine,Approved,Statewide,0.0,Statewide,0.0,HMGP,2025-04-21T00:00:00.000Z,,2025-04-21T00:00:00.000Z,430599.0,2025-04-25T00:00:00.000Z,322949.25,322949.25,0.0,0.0,0.0,0.75,0.0,0.0,2,2,bb3d56b5-d1e1-4766-8726-d35fe6dc2f6d
DR-4720-0070,HMGP,2023,1,Vermont,50,Washington,23.0,4720.0,WASHINGTON,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Pending,Statewide,0.0,Statewide,0.0,HMGP,,,,491888.0,,,,,,,0.75,0.0,0.0,1,1,11019670-bc6c-479a-ba30-f8d9b36b8598
DR-4330-0007-R,HMGP,2017,1,Vermont,50,Washington,23.0,4330.0,WASHINGTON,601.2: Generators - Regular,Closed,Statewide,0.0,Marshfield (Town of),0.0,HMGP,2022-12-17T00:00:00.000Z,2022-12-17T00:00:00.000Z,2019-08-02T00:00:00.000Z,56731.5,2019-08-06T00:00:00.000Z,46200.0,42548.63,0.0,0.0,0.0,0.75,1.08,70189.0,0,0,c177d5cd-4fba-4234-97ca-45e41a366e2d
DR-4720-0019-R,HMGP,2023,1,Vermont,50,Washington,23.0,4720.0,WASHINGTON,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Approved,Statewide,0.0,Waterbury (Town of),0.0,HMGP,2024-10-02T00:00:00.000Z,,2024-08-05T00:00:00.000Z,828900.0,2024-08-06T00:00:00.000Z,391590.0,621675.0,0.0,0.0,0.0,0.75,0.0,0.0,0,2,e6daa735-8e45-4d8b-b9ec-a132f3074e12
DR-4720-0036-R,HMGP,2023,1,Vermont,50,Washington,23.0,4720.0,WASHINGTON,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Approved,Statewide,0.0,Statewide,0.0,HMGP,2024-12-16T00:00:00.000Z,,2024-10-01T00:00:00.000Z,595030.0,2024-12-19T00:00:00.000Z,446272.5,446272.5,0.0,0.0,0.0,0.75,0.0,0.0,1,1,fab0659b-cc7d-4f30-860a-d603d158fd6d
DR-4207-0004-R,HMGP,2015,1,Vermont,50,Washington,23.0,4207.0,WASHINGTON,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,Statewide,0.0,Barre,0.0,HMGP,2019-05-21T00:00:00.000Z,2019-05-21T00:00:00.000Z,2016-06-02T00:00:00.000Z,85657.0,2016-06-03T00:00:00.000Z,81068.0,64243.17,0.0,0.0,0.0,0.75,0.0,0.0,1,1,90c0075c-cff3-452d-93f5-c1f3cbe7d5bd
DR-4022-0024-R,HMGP,2011,1,Vermont,50,Washington,23.0,4022.0,WASHINGTON,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,Statewide,0.0,Northfield (Town of),0.0,HMGP,2018-04-05T00:00:00.000Z,2023-04-20T00:00:00.000Z,2012-10-03T00:00:00.000Z,668154.0,2012-10-10T00:00:00.000Z,927170.0,501115.0,0.0,0.0,0.0,0.75,0.0,0.0,7,7,7a917b1f-a364-4400-8664-d6e60c984065
DR-1790-0004-R,HMGP,2008,1,Vermont,50,Washington,23.0,1790.0,WASHINGTON,403.1: Stormwater Management - Culverts,Closed,Statewide,0.0,Moretown (Town of),0.0,HMGP,2011-03-02T00:00:00.000Z,2011-03-02T00:00:00.000Z,2009-07-24T00:00:00.000Z,33708.0,2009-08-03T00:00:00.000Z,36000.0,25281.0,0.0,0.0,0.0,0.75,1.09,60000.0,0,0,8e55da80-4385-42d9-8e7e-5d6046cb7acf
DR-4022-0070-R,HMGP,2011,1,Vermont,50,Rutland,21.0,4022.0,RUTLAND,403.1: Stormwater Management - Culverts,Closed,Statewide,0.0,Pawlet,0.0,HMGP,2018-04-05T00:00:00.000Z,2023-07-27T00:00:00.000Z,2014-06-25T00:00:00.000Z,74075.0,2014-06-30T00:00:00.000Z,62864.0,55556.0,0.0,0.0,0.0,0.75,1.09,89544.0,0,0,f43ed174-468c-4e8a-b7d0-fab850a583d9
DR-4022-0004-R,HMGP,2011,1,Vermont,50,Rutland,21.0,4022.0,RUTLAND,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,Statewide,0.0,Brandon (Town of),0.0,HMGP,2017-12-28T00:00:00.000Z,2017-12-21T00:00:00.000Z,2012-10-03T00:00:00.000Z,125140.0,2012-10-29T00:00:00.000Z,121597.0,93855.0,0.0,0.0,0.0,0.75,0.0,0.0,1,1,a8502ffa-8427-4be8-99b4-786df424e05b
DR-1790-0003-R,HMGP,2008,1,Vermont,50,Washington,23.0,1790.0,WASHINGTON,403.1: Stormwater Management - Culverts,Closed,Statewide,0.0,Northfield (Town of),0.0,HMGP,2011-03-02T00:00:00.000Z,2011-03-02T00:00:00.000Z,2009-07-23T00:00:00.000Z,303729.0,2009-07-27T00:00:00.000Z,233231.0,227797.0,0.0,0.0,0.0,0.75,1.36,423542.0,0,0,56a964af-ef5a-48c1-adfd-a082dbc3200a
DR-4022-0069-R,HMGP,2011,1,Vermont,50,Rutland,21.0,4022.0,RUTLAND,403.1: Stormwater Management - Culverts,Closed,Statewide,0.0,Pawlet,0.0,HMGP,2018-04-05T00:00:00.000Z,2023-07-27T00:00:00.000Z,2014-06-25T00:00:00.000Z,90186.0,2014-06-30T00:00:00.000Z,68432.0,67639.0,0.0,0.0,0.0,0.75,1.09,101297.0,0,0,dc424563-bab2-4a48-961a-f36b0aa7b84c
DR-4816-0002,HMGP,2024,1,Vermont,50,Washington,23.0,4816.0,WASHINGTON,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Pending,Statewide,0.0,Statewide,0.0,HMGP,,,,268450.0,,,,,,,0.75,0.0,0.0,1,1,5917e9fc-3f23-4198-abec-cef2ca9a9b6b
DR-1951-0001-R,HMGP,2011,1,Vermont,50,Rutland,21.0,1951.0,RUTLAND,403.1: Stormwater Management - Culverts,Closed,Statewide,0.0,Pawlet,0.0,HMGP,2012-02-21T00:00:00.000Z,2015-08-05T00:00:00.000Z,2012-02-21T00:00:00.000Z,68575.0,2012-02-22T00:00:00.000Z,51431.0,31184.0,0.0,0.0,0.0,0.75,1.21,85783.0,0,0,704855c9-5a7b-4c77-a4bd-ceca05f073f7
DR-4532-0008-R,HMGP,2020,1,Vermont,50,Washington,23.0,4532.0,WASHINGTON,303.2: Floodplain and Stream Restoration,Approved,Statewide,0.0,Northfield (Town of),0.0,HMGP,2026-01-23T00:00:00.000Z,,2024-01-29T00:00:00.000Z,744963.0,2024-03-27T00:00:00.000Z,59850.0,87930.0,0.0,0.0,0.0,0.9,2.51,2114793.0,0,0,8154cae7-c337-49ba-8a21-2e56a6bc4377
PDMC-PL-01-VT-2005-004,PDM,2005,1,Vermont,50,Washington,23.0,,WASHINGTON,91.1: Local Multihazard Mitigation Plan,Closed,Vermont Emergency Management,0.0,Norwich University,0.0,eGrants,2005-09-06T00:00:00.000Z,2005-09-09T00:00:00.000Z,2005-09-09T00:00:00.000Z,55128.15,2005-09-09T00:00:00.000Z,41346.11,41346.11,,,,0.75,,,0,0,0519d667-f196-46a4-b9f4-bab03ccbefd4
DR-4532-0013-R,HMGP,2020,1,Vermont,50,Washington,23.0,4532.0,WASHINGTON,402.1: Infrastructure Protective Measures (Roads and Bridges),Approved,Statewide,0.0,Warren (Town of),0.0,HMGP,2024-04-03T00:00:00.000Z,,2024-04-03T00:00:00.000Z,230232.25,2024-08-06T00:00:00.000Z,207209.03,207209.03,0.0,0.0,0.0,0.9,1.42,353329.0,0,0,359ef675-a462-41d6-9570-ada4b54d1dd2
DR-4022-0096-R,HMGP,2011,1,Vermont,50,Rutland,21.0,4022.0,RUTLAND,403.1: Stormwater Management - Culverts,Closed,Statewide,0.0,Pawlet (Town of),0.0,HMGP,2023-07-07T00:00:00.000Z,2023-07-07T00:00:00.000Z,2014-11-10T00:00:00.000Z,81912.26,2014-11-17T00:00:00.000Z,68194.0,61434.2,0.0,0.0,0.0,0.75,1.13,104559.0,0,0,5769e1e5-6892-4a18-8d06-a2d3f43de787
DR-4022-0152-R,HMGP,2011,1,Vermont,50,Washington,23.0,4022.0,WASHINGTON,601.2: Generators - Regular,Closed,Statewide,0.0,Marshfield (Town of),0.0,HMGP,2023-09-19T00:00:00.000Z,2023-09-20T00:00:00.000Z,2016-07-15T00:00:00.000Z,10199.51,2016-07-19T00:00:00.000Z,11668.0,7649.63,0.0,0.0,0.0,0.75,1.13,17579.0,0,0,d5474a5c-70ce-4e16-82bc-f106ac27b424
DR-4720-0096-R,HMGP,2023,1,Vermont,50,Washington,23.0,4720.0,WASHINGTON,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,Statewide,0.0,Statewide,0.0,HMGP,2026-01-26T00:00:00.000Z,2026-01-26T00:00:00.000Z,2025-04-21T00:00:00.000Z,0.0,2025-06-13T00:00:00.000Z,227175.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,1,1,84a1e893-afc5-4489-8906-2fbcb170c345
DR-1228-0014-R,HMGP,1998,1,Vermont,50,Washington,23.0,1228.0,WASHINGTON,403.1: Stormwater Management - Culverts,Closed,,,Warren (Town of ),,HMGP-Historical,2000-02-11T00:00:00.000Z,2000-10-03T00:00:00.000Z,,10581.0,,,7935.0,,,,0.75,1.16,12318.0,0,0,4d41b788-ccd9-4aa8-987f-f964c4a19daf
DR-1228-0011-R,HMGP,1998,1,Vermont,50,Rutland,21.0,1228.0,RUTLAND,"301.1: Shoreline Stabilization (Riprap, etc.)",Closed,,,RUTLAND (TOWN OF ),,HMGP-Historical,2000-03-21T00:00:00.000Z,2002-09-03T00:00:00.000Z,,0.0,,,0.0,,,,0.0,1.79,44720.0,0,0,b85ca479-6ca6-4eb9-923b-d855847193fe
DR-4022-0117-R,HMGP,2011,1,Vermont,50,Rutland,21.0,4022.0,RUTLAND,601.2: Generators - Regular,Closed,Statewide,0.0,Rutland,0.0,HMGP,2023-07-20T00:00:00.000Z,2023-07-20T00:00:00.000Z,2015-04-23T00:00:00.000Z,89690.0,2015-04-28T00:00:00.000Z,66750.0,66750.0,0.0,0.0,0.0,0.74,1.13,104101.0,0,0,e1a7b307-36a5-47b7-be99-27334fa0fb49
DR-4022-0040-R,HMGP,2011,1,Vermont,50,Washington,23.0,4022.0,WASHINGTON,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,Statewide,0.0,Northfield (Town of),0.0,HMGP,2023-11-07T00:00:00.000Z,2023-11-07T00:00:00.000Z,2012-12-21T00:00:00.000Z,814954.38,2013-01-09T00:00:00.000Z,915153.0,611215.79,0.0,0.0,0.0,0.75,0.0,0.0,6,6,61602bfe-2943-4ca3-b398-e98b2673cb89
DR-0990-0002-R,HMGP,1993,1,Vermont,50,Washington,23.0,990.0,WASHINGTON,203.3: Wet Floodproofing Public Structures - Riverine,Closed,,,MONTPELIER,,HMGP-Historical,1997-04-17T00:00:00.000Z,1997-09-29T00:00:00.000Z,,82645.0,,,37645.0,,,,0.46,0.0,0.0,0,1,49ce1186-067c-41c9-b46e-5c7ee2d05b52
DR-9005-0008-R,PDM,2000,1,Vermont,50,Rutland,21.0,9005.0,RUTLAND,90.4: Mitigation Plan - Local Multihazard Mitigation Plan,Closed,,,,,HMGP-Historical,2002-08-12T00:00:00.000Z,,,21800.0,,,13700.0,,,,0.63,0.0,0.0,0,0,f5f1db62-31f9-4426-9c70-fac7eb147c75
DR-4022-0103-R,HMGP,2011,1,Vermont,50,Washington,23.0,4022.0,WASHINGTON,403.1: Stormwater Management - Culverts,Closed,Statewide,0.0,Cabot (Town of),0.0,HMGP,2023-11-03T00:00:00.000Z,2023-11-06T00:00:00.000Z,2014-12-02T00:00:00.000Z,326835.5,2014-12-08T00:00:00.000Z,295773.0,245126.62,0.0,0.0,0.0,0.75,1.01,399090.0,0,0,4a52787b-c631-4f77-b5db-41554fbc98e7
DR-4022-0064-R,HMGP,2011,1,Vermont,50,Washington,23.0,4022.0,WASHINGTON,403.1: Stormwater Management - Culverts,Closed,Statewide,0.0,Barre,0.0,HMGP,2023-08-18T00:00:00.000Z,2024-01-16T00:00:00.000Z,2014-08-05T00:00:00.000Z,246100.33,2014-08-12T00:00:00.000Z,115496.0,184575.25,0.0,0.0,0.0,0.75,4.91,782226.0,0,0,39802154-4798-4f74-a167-f64daa966cea
DR-4022-0107-R,HMGP,2011,1,Vermont,50,Washington,23.0,4022.0,WASHINGTON,601.1: Generators,Closed,Statewide,0.0,Warren (Town of),0.0,HMGP,2022-12-01T00:00:00.000Z,2022-12-01T00:00:00.000Z,2015-02-05T00:00:00.000Z,8496.47,2015-02-09T00:00:00.000Z,6005.0,6005.0,0.0,0.0,0.0,0.71,1.13,9047.0,0,0,eb553cb1-3097-4c44-81ec-47881131e9bc
DR-1184-0021-R,HMGP,1997,1,Vermont,50,Rutland,21.0,1184.0,RUTLAND,"301.1: Shoreline Stabilization (Riprap, etc.)",Closed,,,RUTLAND (TOWN OF ),,HMGP-Historical,2000-03-21T00:00:00.000Z,2002-09-03T00:00:00.000Z,,0.0,,,0.0,,,,0.0,1.79,44720.0,0,0,c7773e9d-15a0-487f-b69b-b15ac72fa1f0
DR-1228-0019-R,HMGP,1998,1,Vermont,50,Rutland,21.0,1228.0,RUTLAND,403.1: Stormwater Management - Culverts,Closed,,,"Castleton, Town of",,HMGP-Historical,2001-01-30T00:00:00.000Z,2002-09-11T00:00:00.000Z,,56809.0,,,42606.0,,,,0.75,1.22,69379.0,0,0,28b57ea4-50d2-46aa-a95f-956803d5bba8
DR-4022-0053-R,HMGP,2011,1,Vermont,50,Washington,23.0,4022.0,WASHINGTON,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,Statewide,0.0,Northfield (Town of),0.0,HMGP,2023-05-03T00:00:00.000Z,2023-05-03T00:00:00.000Z,2013-09-18T00:00:00.000Z,83472.26,2013-09-19T00:00:00.000Z,55313.0,62604.19,0.0,0.0,0.0,0.75,0.0,0.0,1,1,1353064b-a8c6-47bd-9ba3-7f53ddb19933
