GEOID,town_name,population,valid_population,area_sq_km,pct_river_corridor,pct_below_poverty,percent_elderly,pct_no_vehicle,pct_renter_occupied,median_income,IFLD_EALT_weighted,EAL_per_capita,risk_eal,risk_eal_per_capita,risk_nri,need_eal,need_eal_per_capita,need_nri,gap_eal,gap_eal_per_capita,gap_nri,funding_total,funding_per_capita,claims_paid_per_capita,vulnerability,risk_eal_rel,risk_eal_per_capita_rel,risk_nri_rel,need_eal_rel,need_eal_per_capita_rel,need_nri_rel,gap_eal_rel,gap_eal_per_capita_rel,gap_nri_rel,funding_rel,claims_rel,vulnerability_rel,funding_rank,claims_rank,vulnerability_rank,risk_rank_eal,risk_rank_eal_per_capita,risk_rank_nri,need_rank_eal,need_rank_eal_per_capita,need_rank_nri,gap_rank_eal,gap_rank_eal_per_capita,gap_rank_nri,quadrant_eal,quadrant_eal_per_capita,quadrant_nri
5000100325.0,Addison town,1175,True,126.878736,3.2029443098973385,4.51063829787234,27.148936170212767,0.6122448979591837,10.816326530612246,106667.0,442982.27171678585,254.3329518025838,0.528,0.36,0.872,0.44066666666666665,0.3566666666666667,0.436,0.17866666666666664,0.09466666666666668,0.174,0.0,0.0,0.0,0.35333333333333333,0.05179282868525892,-0.2828685258964144,0.7370517928286853,-0.12217795484727756,-0.2895086321381142,0.7370517928286853,0.8208470651654557,0.39047032425535666,0.5743939153858343,-1.0,-1.0,-0.2961487383798139,0.0,0.0,0.236,0.528,0.36,0.872,0.402,0.252,0.872,0.732,0.616,0.932,zero_funding,zero_funding,zero_funding
5001900475.0,Albany town,934,True,100.965867,3.6863522451888127,8.029978586723768,16.38115631691649,1.7766497461928936,6.852791878172589,59167.0,347029.5074240688,353.3379006145504,0.36,0.644,0.888,0.3393333333333333,0.48133333333333334,0.444,0.07733333333333331,0.21933333333333332,0.182,0.0,0.0,0.0,0.31866666666666665,-0.2828685258964144,0.2828685258964143,0.7689243027888446,-0.32403718459495356,-0.04116865869853914,0.7689243027888446,0.3552920132805703,0.9046812442254389,0.6008028310357577,-1.0,-1.0,-0.3652058432934926,0.0,0.0,0.204,0.36,0.644,0.888,0.224,0.468,0.888,0.568,0.76,0.948,zero_funding,zero_funding,zero_funding
5001300860.0,Alburgh town,1832,True,122.935601,0.2669187528937311,11.431742508324083,27.074235807860266,0.6361323155216284,7.124681933842239,76429.0,715621.0876369431,478.0120301898555,0.744,0.904,0.94,0.6383333333333333,0.7183333333333333,0.47,0.3763333333333333,0.45633333333333326,0.20799999999999996,0.0,0.0,0.0,0.5326666666666666,0.4820717131474104,0.8007968127490039,0.8725099601593624,0.27158034528552455,0.4309428950863212,0.8725099601593624,1.7289857025593274,1.8822319503717717,0.6866318068980087,-1.0,-1.0,0.061088977423638946,0.0,0.0,0.536,0.744,0.904,0.94,0.752,0.88,0.94,0.948,0.952,0.982,zero_funding,zero_funding,zero_funding
5002701300.0,Andover town,616,True,74.870626,1.920217937351524,4.567699836867863,22.727272727272727,0.0,17.22689075630252,102500.0,196660.1244566445,368.2866368194795,0.18,0.676,0.046,0.216,0.464,0.023,-0.604,-0.3559999999999999,-0.7969999999999999,145285.18396558578,235.85257137270412,87.66617051863946,0.252,-0.6414342629482073,0.3466135458167332,-0.9083665338645418,-0.5697211155378485,-0.07569721115537842,-0.9083665338645418,-2.774953138208593,-1.4683884024814113,-2.6309882216236202,1.3466895393293017,0.8652817659974854,-0.49800796812748993,0.625,0.5586206896551724,0.112,0.18,0.676,0.046,0.048,0.436,0.046,0.024,0.116,0.032,overfunded,overfunded,overfunded
5000301450.0,Arlington town,2598,True,109.33977,4.52166845115246,7.459207459207459,20.70823710546574,3.4722222222222223,15.97222222222222,102308.0,630795.0101730203,498.3990098564102,0.684,0.926,0.984,0.5656666666666668,0.6866666666666668,0.492,0.02966666666666673,0.15066666666666673,-0.04400000000000004,13419.672055446856,5.165385702635433,24.722665470486824,0.44733333333333336,0.36254980079681287,0.8446215139442232,0.9601593625498008,0.12682602921646757,0.36786188579017276,0.9601593625498008,0.1362973671636674,0.6214527695895116,-0.14524903607457892,-0.21928466961502668,0.35059731634115265,-0.10889774236387761,0.03333333333333333,0.3724137931034483,0.356,0.684,0.926,0.984,0.624,0.832,0.984,0.464,0.668,0.728,underfunded,underfunded,underfunded
5002501900.0,Athens town,431,True,36.335204,1.9216920837925744,12.064965197215775,21.57772621809745,13.966480446927374,26.256983240223462,68438.0,156798.06985859032,454.9865460515933,0.128,0.864,0.964,0.4186666666666667,0.7866666666666666,0.482,0.15666666666666668,0.5246666666666666,0.21999999999999997,0.0,0.0,0.0,0.7093333333333334,-0.7450199203187251,0.7211155378486056,0.9203187250996014,-0.16600265604249664,0.5670650730411686,0.9203187250996014,0.7197726131115004,2.164085529499758,0.7262451803728939,-1.0,-1.0,0.41301460823373204,0.0,0.0,0.88,0.128,0.864,0.964,0.36,0.944,0.964,0.696,0.976,0.992,zero_funding,zero_funding,zero_funding
5000902125.0,Averill town,9,True,98.588267,1.0192742024863453,0.0,22.22222222222222,0.0,0.0,,96984.3463690566,551.9428093876337,0.052,0.956,0.446,0.11366666666666667,0.5656666666666667,0.223,-0.14833333333333334,0.30366666666666664,-0.03900000000000001,0.0,0.0,0.0,0.17533333333333334,-0.896414342629482,0.9043824701195218,-0.11155378486055778,-0.7735723771580345,0.12682602921646735,-0.11155378486055778,-0.6814868358183356,1.2525298077346123,-0.12874346379337667,-1.0,-1.0,-0.6507304116865869,0.0,0.0,0.04,0.052,0.956,0.446,0.016,0.628,0.446,0.284,0.828,0.746,zero_funding,zero_funding,zero_funding
5001102500.0,Bakersfield town,1109,True,109.247504,2.598216933304659,7.303877366997296,21.19026149684401,2.9017857142857144,6.026785714285714,83462.0,202274.5184093401,160.14780886982786,0.192,0.066,0.102,0.31,0.247,0.051,0.04799999999999999,-0.015000000000000013,-0.21100000000000002,0.0,0.0,0.0,0.428,-0.6175298804780877,-0.8685258964143426,-0.796812749003984,-0.38247011952191234,-0.5079681274900398,-0.796812749003984,0.22052607720862985,-0.0618702978573629,-0.6965351502667302,-1.0,-1.0,-0.14741035856573692,0.0,0.0,0.316,0.192,0.066,0.102,0.16,0.08,0.102,0.512,0.472,0.496,zero_funding,zero_funding,zero_funding
5002702575.0,Baltimore town,361,True,12.337991,0.0,1.10803324099723,14.681440443213296,0.0,14.17910447761194,107500.0,78949.76690109198,454.12525524922887,0.028,0.85,0.198,0.043333333333333335,0.4543333333333333,0.099,-0.21866666666666668,0.1923333333333333,-0.163,0.0,0.0,0.0,0.058666666666666666,-0.9442231075697212,0.6932270916334662,-0.6055776892430278,-0.9136786188579017,-0.09495351925630813,-0.6055776892430278,-1.0046187961726474,0.7933147080821857,-0.5380816563671896,-1.0,-1.0,-0.8831341301460823,0.0,0.0,0.012,0.028,0.85,0.198,0.008,0.412,0.198,0.24,0.724,0.574,zero_funding,zero_funding,zero_funding
5002702725.0,Barnard town,1211,True,125.020865,1.8100526199051288,2.6424442609413705,21.965317919075144,0.0,14.644351464435148,97581.0,438999.9812801732,378.88313203779,0.524,0.73,0.83,0.35533333333333333,0.4583333333333333,0.415,-0.4166666666666667,-0.3136666666666667,-0.35700000000000004,213676.5464208149,176.44636368357962,0.0,0.18666666666666668,0.043824701195219085,0.45418326693227096,0.6533864541832668,-0.2921646746347941,-0.0869853917662683,0.6533864541832668,-1.9142888646582459,-1.2937766729728544,-1.1784978608778325,1.2227462267921827,-1.0,-0.6281540504648073,0.525,0.0,0.06,0.524,0.73,0.83,0.248,0.416,0.83,0.108,0.156,0.348,overfunded,overfunded,aligned
5000502875.0,Barnet town,1855,True,113.020059,4.526264023769591,8.194070080862534,28.787061994609164,2.6631158455392807,20.10652463382157,67386.0,436102.7687185616,284.811126494528,0.516,0.482,0.422,0.5526666666666666,0.5356666666666667,0.211,0.29066666666666663,0.2736666666666667,-0.05100000000000002,0.0,0.0,68.83362743665698,0.5893333333333334,0.027888446215139417,-0.03984063745019928,-0.1593625498007969,0.10092961487383789,0.06706507304116882,-0.1593625498007969,1.335407911985592,1.1287892120198868,-0.16835683726826184,-1.0,0.7659792242817864,0.1739707835325368,0.0,0.5172413793103449,0.66,0.516,0.482,0.422,0.604,0.568,0.422,0.876,0.808,0.722,zero_funding,zero_funding,zero_funding
5002303175.0,Barre city,8412,True,10.411139,9.791220775211832,17.293777134587554,19.43651925820257,13.605276013678557,49.63361016121153,65625.0,3259147.5745900003,383.8355405240844,0.988,0.756,0.9,0.8500000000000001,0.734,0.45,0.05800000000000005,-0.05800000000000005,-0.342,1690689.982578569,200.9854948381561,1243.1512248851914,0.7120000000000001,0.9681274900398407,0.5059760956175299,0.7928286852589641,0.6932270916334664,0.4621513944223108,0.7928286852589641,0.26646900996042805,-0.2392318183818032,-1.1289811440342261,1.2783409745124552,1.9638233486065264,0.41832669322709215,0.5666666666666667,0.9241379310344827,0.888,0.988,0.756,0.9,0.972,0.892,0.9,0.536,0.432,0.368,aligned,aligned,aligned
5002303250.0,Barre town,8005,True,79.577002,1.7063308365711665,2.498438475952529,21.711430356027485,3.48936170212766,11.574468085106384,93210.0,1230303.803801,155.28257021342927,0.88,0.052,0.092,0.614,0.2,0.046,-0.07000000000000006,-0.48400000000000004,-0.638,549752.3376052097,68.67611962588504,9.57401863463994,0.34800000000000003,0.7529880478087649,-0.896414342629482,-0.8167330677290836,0.22310756972111556,-0.6015936254980079,-0.8167330677290836,-0.3216005292625856,-1.996348277530908,-2.1061110230813926,0.821514307793983,-0.01913052002647786,-0.3067729083665337,0.3416666666666667,0.1724137931034483,0.232,0.88,0.052,0.092,0.72,0.032,0.092,0.32,0.048,0.12,underfunded,low_priority,low_priority
5001903550.0,Barton town,2815,True,114.89028,3.910505441191707,10.223525100769512,23.51687388987567,8.58843537414966,26.105442176870746,66250.0,1363612.30091,474.7953693976323,0.896,0.892,0.84,0.7966666666666666,0.7946666666666666,0.42,0.18066666666666664,0.17866666666666664,-0.196,73970.98050549364,26.27743534831035,463.74888249937953,0.6973333333333334,0.7848605577689243,0.7768924302788844,0.6733067729083664,0.5869853917662682,0.5830013280212483,0.6733067729083664,0.8300356517158153,0.7369439922565885,-0.6470184334231237,0.41900029767261815,1.5542772178242967,0.38911022576361254,0.2,0.8413793103448276,0.86,0.896,0.892,0.84,0.932,0.952,0.84,0.736,0.708,0.518,underfunded,underfunded,underfunded
5001504375.0,Belvidere town,422,True,92.344843,2.514798215761445,5.450236966824645,8.767772511848342,5.670103092783505,13.917525773195877,81563.0,171171.47274888784,233.3206096770658,0.16,0.29,0.132,0.25333333333333335,0.31833333333333336,0.066,-0.5226666666666666,-0.45766666666666667,-0.71,75122.72809694207,178.01594335768263,0.0,0.3466666666666667,-0.6812749003984064,-0.4223107569721116,-0.7370517928286853,-0.4953519256308101,-0.3658698539176627,-0.7370517928286853,-2.401283951827303,-1.8877315324035375,-2.343791263930703,1.2265260747806979,-1.0,-0.30942895086321365,0.5333333333333333,0.0,0.228,0.16,0.29,0.132,0.08,0.164,0.132,0.052,0.068,0.08,overfunded,overfunded,overfunded
5000304825.0,Bennington town,15249,True,109.301751,5.3394620609014405,13.19430105306628,25.18197914617352,13.699276502044668,41.55394778232148,59446.0,4275964.820615,278.8733333734429,0.996,0.444,0.82,0.8993333333333333,0.6233333333333333,0.41,0.6373333333333333,0.3613333333333333,0.14799999999999996,0.0,0.0,9.196984097260884,0.8026666666666666,0.9840637450199203,-0.1155378486055777,0.6334661354581672,0.7915006640106241,0.24169986719787517,0.6334661354581672,2.9280962473812524,1.4903867306084737,0.4885649395235831,-1.0,-0.03423115270082244,0.5989375830013284,0.0,0.16551724137931034,0.956,0.996,0.444,0.82,0.988,0.72,0.82,1.0,0.868,0.896,zero_funding,zero_funding,zero_funding
5002105200.0,Benson town,784,True,117.622385,2.9873739869207543,5.405405405405405,26.913265306122447,1.2738853503184715,19.10828025477707,78625.0,207497.9118602079,229.0914346908872,0.204,0.266,0.266,0.31066666666666665,0.3416666666666667,0.133,0.048666666666666636,0.07966666666666666,-0.129,0.0,0.0,0.0,0.41733333333333333,-0.5936254980079682,-0.4701195219123506,-0.4701195219123506,-0.38114209827357237,-0.31938911022576355,-0.4701195219123506,0.22358893939208296,0.3286000263979938,-0.4258437648550151,-1.0,-1.0,-0.16865869853917648,0.0,0.0,0.292,0.204,0.266,0.266,0.166,0.22,0.266,0.518,0.588,0.622,zero_funding,zero_funding,zero_funding
5001105425.0,Berkshire town,1745,True,108.546393,4.735753699776037,14.639769452449569,14.84240687679083,5.683563748079877,22.734254992319507,71406.0,577460.4960929252,284.6150938489787,0.648,0.474,0.662,0.6106666666666667,0.5236666666666667,0.331,-0.18933333333333335,-0.2763333333333333,-0.46900000000000003,367999.39834710857,210.88790736223987,0.0,0.5733333333333334,0.29083665338645415,-0.055776892430278946,0.3187250996015938,0.2164674634794157,0.04316069057104932,0.3187250996015938,-0.869852860100707,-1.1397883760834178,-1.5482226799767604,1.298883704873206,-1.0,0.14209827357237748,0.5833333333333334,0.0,0.62,0.648,0.474,0.662,0.716,0.54,0.662,0.258,0.188,0.256,aligned,aligned,aligned
5002305650.0,Berlin town,2880,True,95.10994,4.257283675436794,10.894064613072878,26.77083333333333,8.368200836820083,12.05020920502092,86691.0,1202564.70484,422.10063349947353,0.872,0.824,0.732,0.818,0.7939999999999999,0.366,0.10999999999999999,0.08599999999999997,-0.34199999999999997,249621.6137382365,86.67417143688769,1920.779960351928,0.7639999999999999,0.7370517928286853,0.641434262948207,0.4581673306772909,0.6294820717131473,0.5816733067729083,0.4581673306772909,0.5053722602697768,0.3547230410488802,-1.128981144034226,0.920134204343007,2.14465796800042,0.5219123505976098,0.39166666666666666,0.993103448275862,0.924,0.872,0.824,0.732,0.956,0.948,0.732,0.634,0.6,0.372,underfunded,underfunded,underfunded
5002705800.0,Bethel town,1736,True,118.52122,5.372114209509812,8.237327188940093,25.518433179723505,3.4722222222222223,16.435185185185187,75822.0,546258.4434646665,404.8963005833882,0.636,0.808,0.766,0.6043333333333334,0.6903333333333334,0.383,-0.2636666666666666,-0.17766666666666664,-0.485,595067.961919391,342.7810840549487,512.6348967398689,0.5726666666666667,0.26693227091633465,0.6095617529880479,0.5258964143426295,0.20385126162018596,0.3751660026560426,0.5258964143426295,-1.2113619935557376,-0.7328193057327643,-1.601040511276607,1.5065998181248679,1.5958741176976914,0.1407702523240375,0.725,0.8551724137931035,0.616,0.636,0.808,0.766,0.7,0.848,0.766,0.18,0.3,0.236,aligned,aligned,aligned
5000906325.0,Bloomfield town,234,True,104.64685,3.994555877081519,2.1367521367521367,25.213675213675213,6.1946902654867255,16.8141592920354,54375.0,102930.39004982398,551.9428093876338,0.064,0.972,0.446,0.274,0.728,0.223,0.01200000000000001,0.46599999999999997,-0.03900000000000001,0.0,0.0,0.0,0.484,-0.8725099601593626,0.9362549800796811,-0.11155378486055778,-0.45418326693227085,0.45019920318725104,-0.11155378486055778,0.055131519302157525,1.9221039201020724,-0.12874346379337667,-1.0,-1.0,-0.03585657370517914,0.0,0.0,0.422,0.064,0.972,0.446,0.096,0.884,0.446,0.438,0.956,0.746,zero_funding,zero_funding,zero_funding
5000706550.0,Bolton town,1163,True,108.886029,3.2857523914526587,2.9234737747205504,6.706792777300086,0.7299270072992701,18.43065693430657,111125.0,492817.8395597608,239.3796105919532,0.592,0.312,0.652,0.3413333333333333,0.20133333333333334,0.326,-0.5426666666666666,-0.6826666666666666,-0.558,483006.0784195419,415.310471555926,522.0314002278858,0.09066666666666667,0.17928286852589626,-0.3784860557768924,0.298804780876494,-0.32005312084993365,-0.5989375830013279,0.298804780876494,-2.493169817330899,-2.81578600026398,-1.8420218665821584,1.5887622415804135,1.6034139721038407,-0.8193891102257636,0.7583333333333333,0.8620689655172413,0.016,0.592,0.312,0.652,0.236,0.036,0.652,0.04,0.012,0.176,overfunded,overfunded,aligned
5001707375.0,Bradford town,2827,True,77.397563,4.238715157666246,2.7588677893228235,22.85107888220729,4.470359572400389,12.925170068027212,108162.0,651199.979581,233.40501060250892,0.7,0.296,0.212,0.5593333333333333,0.35733333333333334,0.106,0.29733333333333334,0.09533333333333333,-0.15600000000000003,0.0,0.0,18.305494212171208,0.4186666666666667,0.394422310756972,-0.4103585657370519,-0.5776892430278884,0.11420982735723784,-0.2881806108897742,-0.5776892430278884,1.3660365338201241,0.3932201152712394,-0.5149738551735067,-1.0,0.2312398375799587,-0.16600265604249642,0.0,0.296551724137931,0.296,0.7,0.296,0.212,0.616,0.256,0.212,0.884,0.62,0.588,zero_funding,zero_funding,zero_funding
5001707600.0,Braintree town,1026,True,99.846596,3.279609634970841,11.11111111111111,33.23586744639376,1.36986301369863,18.98238747553816,79803.0,350298.54956893175,295.8075832758058,0.368,0.5,0.348,0.5073333333333334,0.5733333333333334,0.174,0.2453333333333334,0.31133333333333335,-0.08800000000000002,0.0,0.0,0.0,0.6466666666666667,-0.26693227091633465,-0.003984063745019917,-0.3067729083665339,0.01062416998672,0.14209827357237725,-0.3067729083665339,1.1271332835107755,1.2841524044172645,-0.2904980721491576,-1.0,-1.0,0.28818061088977465,0.0,0.0,0.784,0.368,0.5,0.348,0.532,0.636,0.348,0.828,0.832,0.676,zero_funding,zero_funding,zero_funding
